"Código","Unidade Territorial","Referência","Quantidade de famílias NÃO beneficiárias do Programa Bolsa Família formada por 1 integrante","Quantidade de famílias NÃO beneficiárias do Programa Bolsa Família formada por 2 integrantes","Quantidade de famílias NÃO beneficiárias do Programa Bolsa Família formada por 3 integrantes","Quantidade de famílias NÃO beneficiárias do Programa Bolsa Família formada por 4 integrantes","Quantidade de famílias NÃO beneficiárias do Programa Bolsa Família formada por 5 integrantes","Quantidade de famílias NÃO beneficiárias do Programa Bolsa Família formada por 6 integrantes","Quantidade de famílias NÃO beneficiárias do Programa Bolsa Família formada por 7 integrantes","Quantidade de famílias NÃO beneficiárias do Programa Bolsa Família formada por 8 ou mais integrantes","Quantidade de famílias BENEFICIÁRIAS do Programa Bolsa Família formada por 1 integrante","Quantidade de famílias BENEFICIÁRIAS do Programa Bolsa Família formada por 2 integrantes","Quantidade de famílias BENEFICIÁRIAS do Programa Bolsa Família formada por 3 integrantes","Quantidade de famílias BENEFICIÁRIAS do Programa Bolsa Família formada por 4 integrantes","Quantidade de famílias BENEFICIÁRIAS do Programa Bolsa Família formada por 5 integrantes","Quantidade de famílias BENEFICIÁRIAS do Programa Bolsa Família formada por 6 integrantes","Quantidade de famílias BENEFICIÁRIAS do Programa Bolsa Família formada por 7 integrantes","Quantidade de famílias BENEFICIÁRIAS do Programa Bolsa Família formada por 8 ou mais integrantes"
"11","RONDÔNIA","12/2012","23465","27972","26199","18609","8015","2334","688","284","2416","16951","32859","34489","18969","6743","2361","1257"
"12","ACRE","12/2012","3394","9251","12745","8903","4279","1702","635","387","441","5786","13856","16898","13253","8093","4637","5160"
"13","AMAZONAS","12/2012","34114","47277","43066","26331","12288","4774","1771","1129","5352","47814","76398","76006","54969","32443","17293","15897"
"14","RORAIMA","12/2012","5463","7019","6074","3856","1713","658","199","123","1677","8373","11366","10803","7198","3749","1846","1587"
"15","PARÁ","12/2012","75278","102071","93070","59319","27207","9737","3417","1964","13311","133584","212759","198425","125908","63640","30409","26622"
"16","AMAPÁ","12/2012","3698","8272","7396","4864","2350","1008","385","260","556","7992","12826","12346","8849","5180","2746","2460"
"17","TOCANTINS","12/2012","26068","30649","27682","19090","8168","2490","704","329","4525","20253","34170","37153","23682","10233","4241","2992"
"21","MARANHÃO","12/2012","108991","128056","92472","52109","21673","6894","2160","1039","33180","178734","253023","225279","136408","63676","28637","21788"
"22","PIAUÍ","12/2012","60814","70444","53111","32985","13523","4139","1217","613","25512","88822","122107","112975","60938","24048","9584","6663"
"23","CEARÁ","12/2012","115578","191355","166412","92613","37319","12198","4006","2153","46082","199485","304859","271343","152787","67950","29425","21713"
