,time,11,12,13,14,15,16,17,21,22,23,24,25,26,27,28,29,31,32,33,35,41,42,43,50,51,52,53
1,2012,43.5,33.9,34.1,42.5,39.2,37.3,27.3,39.3,41.9,48.1,33.8,31.3,39.1,35.7,26.9,32.9,31.0,35.1,38.2,37.6,33.3,36.0,33.9,31.0,21.6,38.3,50.9
2,2013,35.3,30.0,40.7,37.4,43.4,46.2,32.7,39.4,35.9,38.9,42.2,33.8,47.7,41.1,36.4,42.8,34.1,33.8,40.8,38.7,33.9,35.1,35.0,25.2,29.3,29.8,37.0
3,2014,24.7,35.6,36.3,45.5,39.6,45.0,32.2,35.4,34.1,39.1,31.0,41.6,41.5,33.8,43.9,35.6,31.5,34.4,45.3,33.7,37.3,36.6,37.4,31.4,26.3,37.0,35.9
4,2015,25.9,29.3,27.3,43.4,39.7,32.1,30.6,36.2,50.1,40.3,49.0,41.2,38.7,44.2,39.0,36.6,39.9,39.0,40.2,36.0,36.3,38.2,32.4,37.1,26.2,27.9,41.9
5,2016,47.2,48.4,29.0,24.3,34.6,43.4,36.9,38.2,48.3,38.7,48.1,37.5,44.8,35.4,35.8,43.7,37.3,34.0,38.7,38.9,38.0,34.3,37.3,39.9,37.7,32.3,43.8
6,2017,39.8,38.6,40.0,44.5,34.9,48.3,40.9,36.1,50.5,35.2,30.8,45.7,38.1,49.9,41.0,37.7,33.6,34.2,39.9,41.2,38.6,37.4,36.0,38.6,33.0,32.2,40.2
7,2018,36.7,39.2,45.8,49.2,38.3,58.7,31.0,43.4,33.3,32.8,34.6,38.6,34.6,44.3,33.9,34.5,43.4,37.9,43.4,37.2,33.2,34.9,30.9,31.7,36.4,26.0,33.5
8,2019,36.7,45.5,35.8,47.0,36.4,38.5,30.5,40.4,52.8,39.4,38.7,36.9,45.0,40.1,42.6,35.2,36.1,37.0,42.0,35.2,34.3,35.7,38.1,29.7,30.0,32.0,35.6
9,2020,30.6,37.2,29.6,47.2,39.9,42.9,26.4,33.2,34.9,36.4,33.1,36.0,47.8,47.4,51.3,36.5,37.4,34.0,37.8,35.8,33.0,36.3,31.3,31.7,25.0,34.1,36.7
10,2021,25.5,36.6,38.9,48.7,44.6,58.0,17.8,32.1,54.5,54.6,21.6,29.5,49.8,32.1,35.5,33.3,37.1,37.0,34.6,32.2,36.3,30.0,38.2,31.2,35.1,41.2,33.7
11,2022,30.4,58.6,38.0,38.8,39.0,51.5,37.7,30.7,22.8,28.5,37.4,43.1,42.5,41.7,36.7,40.6,36.6,32.0,37.8,44.8,33.3,35.7,37.7,32.5,39.7,26.1,39.9
