"id","2012","2024","change","label_t_0","label_t_1","label_change"
"AC",1,2,1,"Cluster 1 (lagging behind)","Cluster 2","+1 cluster"
"AL",2,2,0,"Cluster 2","Cluster 2","remained the same"
"AM",1,1,0,"Cluster 1 (lagging behind)","Cluster 1 (lagging behind)","remained the same"
"AP",3,4,1,"Cluster 3","Cluster 4","+1 cluster"
"BA",5,5,0,"Cluster 5 (top performer)","Cluster 5 (top performer)","remained the same"
"CE",1,1,0,"Cluster 1 (lagging behind)","Cluster 1 (lagging behind)","remained the same"
"DF",3,4,1,"Cluster 3","Cluster 4","+1 cluster"
"ES",4,4,0,"Cluster 4","Cluster 4","remained the same"
"GO",3,2,-1,"Cluster 3","Cluster 2","-1 cluster"
"MA",5,5,0,"Cluster 5 (top performer)","Cluster 5 (top performer)","remained the same"
"MG",5,5,0,"Cluster 5 (top performer)","Cluster 5 (top performer)","remained the same"
"MS",2,1,-1,"Cluster 2","Cluster 1 (lagging behind)","-1 cluster"
"MT",4,3,-1,"Cluster 4","Cluster 3","-1 cluster"
"PA",3,3,0,"Cluster 3","Cluster 3","remained the same"
"PB",2,2,0,"Cluster 2","Cluster 2","remained the same"
"PE",2,3,1,"Cluster 2","Cluster 3","+1 cluster"
"PI",4,4,0,"Cluster 4","Cluster 4","remained the same"
"PR",1,1,0,"Cluster 1 (lagging behind)","Cluster 1 (lagging behind)","remained the same"
"RJ",5,5,0,"Cluster 5 (top performer)","Cluster 5 (top performer)","remained the same"
"RN",1,3,2,"Cluster 1 (lagging behind)","Cluster 3","+2 clusters or more"
"RO",4,2,-2,"Cluster 4","Cluster 2","-2 clusters or more"
"RR",3,3,0,"Cluster 3","Cluster 3","remained the same"
"RS",2,1,-1,"Cluster 2","Cluster 1 (lagging behind)","-1 cluster"
"SC",1,1,0,"Cluster 1 (lagging behind)","Cluster 1 (lagging behind)","remained the same"
"SE",5,4,-1,"Cluster 5 (top performer)","Cluster 4","-1 cluster"
"SP",2,2,0,"Cluster 2","Cluster 2","remained the same"
"TO",4,5,1,"Cluster 4","Cluster 5 (top performer)","+1 cluster"
