"id","2012","2021","change","label_t_0","label_t_1","label_change"
"AC",2,1,-1,"Cluster 4","Cluster 5 (top performer)","+1 cluster"
"AL",5,5,0,"Cluster 1 (lagging behind)","Cluster 1 (lagging behind)","remained the same"
"AM",3,4,1,"Cluster 3","Cluster 2","-1 cluster"
"AP",3,5,2,"Cluster 3","Cluster 1 (lagging behind)","-2 clusters or more"
"BA",4,5,1,"Cluster 2","Cluster 1 (lagging behind)","-1 cluster"
"CE",2,5,3,"Cluster 4","Cluster 1 (lagging behind)","-2 clusters or more"
"DF",5,1,-4,"Cluster 1 (lagging behind)","Cluster 5 (top performer)","+2 clusters or more"
"ES",5,3,-2,"Cluster 1 (lagging behind)","Cluster 3","+2 clusters or more"
"GO",5,2,-3,"Cluster 1 (lagging behind)","Cluster 4","+2 clusters or more"
"MA",2,3,1,"Cluster 4","Cluster 3","-1 cluster"
"MG",1,1,0,"Cluster 5 (top performer)","Cluster 5 (top performer)","remained the same"
"MS",3,2,-1,"Cluster 3","Cluster 4","+1 cluster"
"MT",3,2,-1,"Cluster 3","Cluster 4","+1 cluster"
"PA",4,3,-1,"Cluster 2","Cluster 3","+1 cluster"
"PB",4,3,-1,"Cluster 2","Cluster 3","+1 cluster"
"PE",5,4,-1,"Cluster 1 (lagging behind)","Cluster 2","+1 cluster"
"PI",1,2,1,"Cluster 5 (top performer)","Cluster 4","-1 cluster"
"PR",1,2,1,"Cluster 5 (top performer)","Cluster 4","-1 cluster"
"RJ",3,4,1,"Cluster 3","Cluster 2","-1 cluster"
"RN",4,5,1,"Cluster 2","Cluster 1 (lagging behind)","-1 cluster"
"RO",2,3,1,"Cluster 4","Cluster 3","-1 cluster"
"RR",2,4,2,"Cluster 4","Cluster 2","-2 clusters or more"
"RS",2,1,-1,"Cluster 4","Cluster 5 (top performer)","+1 cluster"
"SC",1,1,0,"Cluster 5 (top performer)","Cluster 5 (top performer)","remained the same"
"SE",4,4,0,"Cluster 2","Cluster 2","remained the same"
"SP",1,1,0,"Cluster 5 (top performer)","Cluster 5 (top performer)","remained the same"
"TO",1,2,1,"Cluster 5 (top performer)","Cluster 4","-1 cluster"
