"id","2012","2021","change","label_t_0","label_t_1","label_change"
"AC",2,5,3,"Cluster 4","Cluster 1 (lagging behind)","-2 clusters or more"
"AL",5,3,-2,"Cluster 1 (lagging behind)","Cluster 3","+2 clusters or more"
"AM",3,5,2,"Cluster 3","Cluster 1 (lagging behind)","-2 clusters or more"
"AP",2,3,1,"Cluster 4","Cluster 3","-1 cluster"
"BA",3,5,2,"Cluster 3","Cluster 1 (lagging behind)","-2 clusters or more"
"CE",1,5,4,"Cluster 5 (top performer)","Cluster 1 (lagging behind)","-2 clusters or more"
"DF",5,1,-4,"Cluster 1 (lagging behind)","Cluster 5 (top performer)","+2 clusters or more"
"ES",5,5,0,"Cluster 1 (lagging behind)","Cluster 1 (lagging behind)","remained the same"
"GO",5,2,-3,"Cluster 1 (lagging behind)","Cluster 4","+2 clusters or more"
"MA",1,2,1,"Cluster 5 (top performer)","Cluster 4","-1 cluster"
"MG",3,1,-2,"Cluster 3","Cluster 5 (top performer)","+2 clusters or more"
"MS",4,4,0,"Cluster 2","Cluster 2","remained the same"
"MT",4,3,-1,"Cluster 2","Cluster 3","+1 cluster"
"PA",4,3,-1,"Cluster 2","Cluster 3","+1 cluster"
"PB",5,3,-2,"Cluster 1 (lagging behind)","Cluster 3","+2 clusters or more"
"PE",3,4,1,"Cluster 3","Cluster 2","-1 cluster"
"PI",1,2,1,"Cluster 5 (top performer)","Cluster 4","-1 cluster"
"PR",2,2,0,"Cluster 4","Cluster 4","remained the same"
"RJ",2,2,0,"Cluster 4","Cluster 4","remained the same"
"RN",1,4,3,"Cluster 5 (top performer)","Cluster 2","-2 clusters or more"
"RO",4,4,0,"Cluster 2","Cluster 2","remained the same"
"RR",2,4,2,"Cluster 4","Cluster 2","-2 clusters or more"
"RS",2,2,0,"Cluster 4","Cluster 4","remained the same"
"SC",1,1,0,"Cluster 5 (top performer)","Cluster 5 (top performer)","remained the same"
"SE",3,1,-2,"Cluster 3","Cluster 5 (top performer)","+2 clusters or more"
"SP",1,1,0,"Cluster 5 (top performer)","Cluster 5 (top performer)","remained the same"
"TO",4,1,-3,"Cluster 2","Cluster 5 (top performer)","+2 clusters or more"
