"id","2012","2021","change","label_t_0","label_t_1","label_change"
"AC",2,2,0,"Cluster 4","Cluster 4","remained the same"
"AL",5,5,0,"Cluster 1 (lagging behind)","Cluster 1 (lagging behind)","remained the same"
"AM",3,5,2,"Cluster 3","Cluster 1 (lagging behind)","-2 clusters or more"
"AP",4,5,1,"Cluster 2","Cluster 1 (lagging behind)","-1 cluster"
"BA",5,5,0,"Cluster 1 (lagging behind)","Cluster 1 (lagging behind)","remained the same"
"CE",5,5,0,"Cluster 1 (lagging behind)","Cluster 1 (lagging behind)","remained the same"
"DF",3,1,-2,"Cluster 3","Cluster 5 (top performer)","+2 clusters or more"
"ES",5,3,-2,"Cluster 1 (lagging behind)","Cluster 3","+2 clusters or more"
"GO",5,3,-2,"Cluster 1 (lagging behind)","Cluster 3","+2 clusters or more"
"MA",2,2,0,"Cluster 4","Cluster 4","remained the same"
"MG",2,1,-1,"Cluster 4","Cluster 5 (top performer)","+1 cluster"
"MS",1,1,0,"Cluster 5 (top performer)","Cluster 5 (top performer)","remained the same"
"MT",3,2,-1,"Cluster 3","Cluster 4","+1 cluster"
"PA",4,3,-1,"Cluster 2","Cluster 3","+1 cluster"
"PB",4,3,-1,"Cluster 2","Cluster 3","+1 cluster"
"PE",4,4,0,"Cluster 2","Cluster 2","remained the same"
"PI",1,2,1,"Cluster 5 (top performer)","Cluster 4","-1 cluster"
"PR",3,2,-1,"Cluster 3","Cluster 4","+1 cluster"
"RJ",2,4,2,"Cluster 4","Cluster 2","-2 clusters or more"
"RN",3,4,1,"Cluster 3","Cluster 2","-1 cluster"
"RO",2,2,0,"Cluster 4","Cluster 4","remained the same"
"RR",2,4,2,"Cluster 4","Cluster 2","-2 clusters or more"
"RS",1,1,0,"Cluster 5 (top performer)","Cluster 5 (top performer)","remained the same"
"SC",1,1,0,"Cluster 5 (top performer)","Cluster 5 (top performer)","remained the same"
"SE",4,4,0,"Cluster 2","Cluster 2","remained the same"
"SP",1,1,0,"Cluster 5 (top performer)","Cluster 5 (top performer)","remained the same"
"TO",1,3,2,"Cluster 5 (top performer)","Cluster 3","-2 clusters or more"
