"id","2012","2021","change","label_t_0","label_t_1","label_change"
"AC",2,2,0,"Cluster 2","Cluster 2","remained the same"
"AL",1,1,0,"Cluster 1 (lagging behind)","Cluster 1 (lagging behind)","remained the same"
"AM",2,2,0,"Cluster 2","Cluster 2","remained the same"
"AP",3,1,-2,"Cluster 3","Cluster 1 (lagging behind)","-2 clusters or more"
"BA",1,1,0,"Cluster 1 (lagging behind)","Cluster 1 (lagging behind)","remained the same"
"CE",3,3,0,"Cluster 3","Cluster 3","remained the same"
"DF",5,5,0,"Cluster 5 (top performer)","Cluster 5 (top performer)","remained the same"
"ES",4,4,0,"Cluster 4","Cluster 4","remained the same"
"GO",4,4,0,"Cluster 4","Cluster 4","remained the same"
"MA",1,1,0,"Cluster 1 (lagging behind)","Cluster 1 (lagging behind)","remained the same"
"MG",4,5,1,"Cluster 4","Cluster 5 (top performer)","+1 cluster"
"MS",3,4,1,"Cluster 3","Cluster 4","+1 cluster"
"MT",4,3,-1,"Cluster 4","Cluster 3","-1 cluster"
"PA",1,1,0,"Cluster 1 (lagging behind)","Cluster 1 (lagging behind)","remained the same"
"PB",1,2,1,"Cluster 1 (lagging behind)","Cluster 2","+1 cluster"
"PE",2,3,1,"Cluster 2","Cluster 3","+1 cluster"
"PI",1,1,0,"Cluster 1 (lagging behind)","Cluster 1 (lagging behind)","remained the same"
"PR",5,4,-1,"Cluster 5 (top performer)","Cluster 4","-1 cluster"
"RJ",4,4,0,"Cluster 4","Cluster 4","remained the same"
"RN",2,3,1,"Cluster 2","Cluster 3","+1 cluster"
"RO",2,2,0,"Cluster 2","Cluster 2","remained the same"
"RR",3,2,-1,"Cluster 3","Cluster 2","-1 cluster"
"RS",5,5,0,"Cluster 5 (top performer)","Cluster 5 (top performer)","remained the same"
"SC",5,5,0,"Cluster 5 (top performer)","Cluster 5 (top performer)","remained the same"
"SE",2,2,0,"Cluster 2","Cluster 2","remained the same"
"SP",5,5,0,"Cluster 5 (top performer)","Cluster 5 (top performer)","remained the same"
"TO",3,3,0,"Cluster 3","Cluster 3","remained the same"
