"id","2016","2023","change","label_t_0","label_t_1","label_change"
"AC",4,3,-1,"Cluster 2","Cluster 3","+1 cluster"
"AL",3,3,0,"Cluster 3","Cluster 3","remained the same"
"AM",5,5,0,"Cluster 1 (lagging behind)","Cluster 1 (lagging behind)","remained the same"
"AP",3,2,-1,"Cluster 3","Cluster 4","+1 cluster"
"BA",5,5,0,"Cluster 1 (lagging behind)","Cluster 1 (lagging behind)","remained the same"
"CE",4,4,0,"Cluster 2","Cluster 2","remained the same"
"DF",1,1,0,"Cluster 5 (top performer)","Cluster 5 (top performer)","remained the same"
"ES",2,2,0,"Cluster 4","Cluster 4","remained the same"
"GO",2,2,0,"Cluster 4","Cluster 4","remained the same"
"MA",5,5,0,"Cluster 1 (lagging behind)","Cluster 1 (lagging behind)","remained the same"
"MG",2,2,0,"Cluster 4","Cluster 4","remained the same"
"MS",2,1,-1,"Cluster 4","Cluster 5 (top performer)","+1 cluster"
"MT",2,2,0,"Cluster 4","Cluster 4","remained the same"
"PA",5,5,0,"Cluster 1 (lagging behind)","Cluster 1 (lagging behind)","remained the same"
"PB",4,4,0,"Cluster 2","Cluster 2","remained the same"
"PE",3,4,1,"Cluster 3","Cluster 2","-1 cluster"
"PI",5,5,0,"Cluster 1 (lagging behind)","Cluster 1 (lagging behind)","remained the same"
"PR",1,1,0,"Cluster 5 (top performer)","Cluster 5 (top performer)","remained the same"
"RJ",1,2,1,"Cluster 5 (top performer)","Cluster 4","-1 cluster"
"RN",3,3,0,"Cluster 3","Cluster 3","remained the same"
"RO",4,4,0,"Cluster 2","Cluster 2","remained the same"
"RR",2,3,1,"Cluster 4","Cluster 3","-1 cluster"
"RS",1,1,0,"Cluster 5 (top performer)","Cluster 5 (top performer)","remained the same"
"SC",1,1,0,"Cluster 5 (top performer)","Cluster 5 (top performer)","remained the same"
"SE",4,4,0,"Cluster 2","Cluster 2","remained the same"
"SP",1,1,0,"Cluster 5 (top performer)","Cluster 5 (top performer)","remained the same"
"TO",3,3,0,"Cluster 3","Cluster 3","remained the same"
