"id","2012","2022","change","label_t_0","label_t_1","label_change"
"AC",5,5,0,"Cluster 1 (lagging behind)","Cluster 1 (lagging behind)","remained the same"
"AL",4,5,1,"Cluster 2","Cluster 1 (lagging behind)","-1 cluster"
"AM",4,4,0,"Cluster 2","Cluster 2","remained the same"
"AP",3,3,0,"Cluster 3","Cluster 3","remained the same"
"BA",5,5,0,"Cluster 1 (lagging behind)","Cluster 1 (lagging behind)","remained the same"
"CE",5,4,-1,"Cluster 1 (lagging behind)","Cluster 2","+1 cluster"
"DF",1,1,0,"Cluster 5 (top performer)","Cluster 5 (top performer)","remained the same"
"ES",2,2,0,"Cluster 4","Cluster 4","remained the same"
"GO",1,1,0,"Cluster 5 (top performer)","Cluster 5 (top performer)","remained the same"
"MA",5,5,0,"Cluster 1 (lagging behind)","Cluster 1 (lagging behind)","remained the same"
"MG",2,2,0,"Cluster 4","Cluster 4","remained the same"
"MS",1,1,0,"Cluster 5 (top performer)","Cluster 5 (top performer)","remained the same"
"MT",2,2,0,"Cluster 4","Cluster 4","remained the same"
"PA",4,3,-1,"Cluster 2","Cluster 3","+1 cluster"
"PB",3,4,1,"Cluster 3","Cluster 2","-1 cluster"
"PE",4,5,1,"Cluster 2","Cluster 1 (lagging behind)","-1 cluster"
"PI",5,4,-1,"Cluster 1 (lagging behind)","Cluster 2","+1 cluster"
"PR",2,1,-1,"Cluster 4","Cluster 5 (top performer)","+1 cluster"
"RJ",2,2,0,"Cluster 4","Cluster 4","remained the same"
"RN",3,4,1,"Cluster 3","Cluster 2","-1 cluster"
"RO",2,2,0,"Cluster 4","Cluster 4","remained the same"
"RR",3,3,0,"Cluster 3","Cluster 3","remained the same"
"RS",1,1,0,"Cluster 5 (top performer)","Cluster 5 (top performer)","remained the same"
"SC",1,1,0,"Cluster 5 (top performer)","Cluster 5 (top performer)","remained the same"
"SE",4,3,-1,"Cluster 2","Cluster 3","+1 cluster"
"SP",1,2,1,"Cluster 5 (top performer)","Cluster 4","-1 cluster"
"TO",3,3,0,"Cluster 3","Cluster 3","remained the same"
