"id","2012","2021","change","label_t_0","label_t_1","label_change"
"AC",3,4,1,"Cluster 3","Cluster 4","+1 cluster"
"AL",1,2,1,"Cluster 1 (lagging behind)","Cluster 2","+1 cluster"
"AM",1,1,0,"Cluster 1 (lagging behind)","Cluster 1 (lagging behind)","remained the same"
"AP",3,3,0,"Cluster 3","Cluster 3","remained the same"
"BA",2,3,1,"Cluster 2","Cluster 3","+1 cluster"
"CE",3,3,0,"Cluster 3","Cluster 3","remained the same"
"DF",5,4,-1,"Cluster 5 (top performer)","Cluster 4","-1 cluster"
"ES",5,5,0,"Cluster 5 (top performer)","Cluster 5 (top performer)","remained the same"
"GO",3,1,-2,"Cluster 3","Cluster 1 (lagging behind)","-2 clusters or more"
"MA",1,1,0,"Cluster 1 (lagging behind)","Cluster 1 (lagging behind)","remained the same"
"MG",4,5,1,"Cluster 4","Cluster 5 (top performer)","+1 cluster"
"MS",4,2,-2,"Cluster 4","Cluster 2","-2 clusters or more"
"MT",3,1,-2,"Cluster 3","Cluster 1 (lagging behind)","-2 clusters or more"
"PA",2,2,0,"Cluster 2","Cluster 2","remained the same"
"PB",2,3,1,"Cluster 2","Cluster 3","+1 cluster"
"PE",2,4,2,"Cluster 2","Cluster 4","+2 clusters or more"
"PI",1,1,0,"Cluster 1 (lagging behind)","Cluster 1 (lagging behind)","remained the same"
"PR",4,4,0,"Cluster 4","Cluster 4","remained the same"
"RJ",4,2,-2,"Cluster 4","Cluster 2","-2 clusters or more"
"RN",4,5,1,"Cluster 4","Cluster 5 (top performer)","+1 cluster"
"RO",1,1,0,"Cluster 1 (lagging behind)","Cluster 1 (lagging behind)","remained the same"
"RR",1,2,1,"Cluster 1 (lagging behind)","Cluster 2","+1 cluster"
"RS",5,4,-1,"Cluster 5 (top performer)","Cluster 4","-1 cluster"
"SC",5,5,0,"Cluster 5 (top performer)","Cluster 5 (top performer)","remained the same"
"SE",2,2,0,"Cluster 2","Cluster 2","remained the same"
"SP",5,5,0,"Cluster 5 (top performer)","Cluster 5 (top performer)","remained the same"
"TO",2,3,1,"Cluster 2","Cluster 3","+1 cluster"
