"id","2012","2024","change","label_t_0","label_t_1","label_change"
"AC",3,1,-2,"Cluster 3","Cluster 1 (lagging behind)","-2 clusters or more"
"AL",1,2,1,"Cluster 1 (lagging behind)","Cluster 2","+1 cluster"
"AM",2,1,-1,"Cluster 2","Cluster 1 (lagging behind)","-1 cluster"
"AP",4,3,-1,"Cluster 4","Cluster 3","-1 cluster"
"BA",3,4,1,"Cluster 3","Cluster 4","+1 cluster"
"CE",2,2,0,"Cluster 2","Cluster 2","remained the same"
"DF",5,5,0,"Cluster 5 (top performer)","Cluster 5 (top performer)","remained the same"
"ES",4,4,0,"Cluster 4","Cluster 4","remained the same"
"GO",3,3,0,"Cluster 3","Cluster 3","remained the same"
"MA",1,2,1,"Cluster 1 (lagging behind)","Cluster 2","+1 cluster"
"MG",4,3,-1,"Cluster 4","Cluster 3","-1 cluster"
"MS",3,4,1,"Cluster 3","Cluster 4","+1 cluster"
"MT",1,3,2,"Cluster 1 (lagging behind)","Cluster 3","+2 clusters or more"
"PA",1,1,0,"Cluster 1 (lagging behind)","Cluster 1 (lagging behind)","remained the same"
"PB",2,2,0,"Cluster 2","Cluster 2","remained the same"
"PE",3,3,0,"Cluster 3","Cluster 3","remained the same"
"PI",2,1,-1,"Cluster 2","Cluster 1 (lagging behind)","-1 cluster"
"PR",4,4,0,"Cluster 4","Cluster 4","remained the same"
"RJ",5,5,0,"Cluster 5 (top performer)","Cluster 5 (top performer)","remained the same"
"RN",2,2,0,"Cluster 2","Cluster 2","remained the same"
"RO",1,1,0,"Cluster 1 (lagging behind)","Cluster 1 (lagging behind)","remained the same"
"RR",4,2,-2,"Cluster 4","Cluster 2","-2 clusters or more"
"RS",5,5,0,"Cluster 5 (top performer)","Cluster 5 (top performer)","remained the same"
"SC",5,5,0,"Cluster 5 (top performer)","Cluster 5 (top performer)","remained the same"
"SE",2,4,2,"Cluster 2","Cluster 4","+2 clusters or more"
"SP",5,5,0,"Cluster 5 (top performer)","Cluster 5 (top performer)","remained the same"
"TO",1,1,0,"Cluster 1 (lagging behind)","Cluster 1 (lagging behind)","remained the same"
