"id","2012","2022","change","label_t_0","label_t_1","label_change"
"AC",2,5,3,"Cluster 2","Cluster 5 (top performer)","+2 clusters or more"
"AL",3,4,1,"Cluster 3","Cluster 4","+1 cluster"
"AM",2,3,1,"Cluster 2","Cluster 3","+1 cluster"
"AP",3,5,2,"Cluster 3","Cluster 5 (top performer)","+2 clusters or more"
"BA",2,4,2,"Cluster 2","Cluster 4","+2 clusters or more"
"CE",5,1,-4,"Cluster 5 (top performer)","Cluster 1 (lagging behind)","-2 clusters or more"
"DF",5,4,-1,"Cluster 5 (top performer)","Cluster 4","-1 cluster"
"ES",3,1,-2,"Cluster 3","Cluster 1 (lagging behind)","-2 clusters or more"
"GO",4,1,-3,"Cluster 4","Cluster 1 (lagging behind)","-2 clusters or more"
"MA",4,1,-3,"Cluster 4","Cluster 1 (lagging behind)","-2 clusters or more"
"MG",1,2,1,"Cluster 1 (lagging behind)","Cluster 2","+1 cluster"
"MS",1,2,1,"Cluster 1 (lagging behind)","Cluster 2","+1 cluster"
"MT",1,4,3,"Cluster 1 (lagging behind)","Cluster 4","+2 clusters or more"
"PA",4,4,0,"Cluster 4","Cluster 4","remained the same"
"PB",1,5,4,"Cluster 1 (lagging behind)","Cluster 5 (top performer)","+2 clusters or more"
"PE",4,5,1,"Cluster 4","Cluster 5 (top performer)","+1 cluster"
"PI",5,1,-4,"Cluster 5 (top performer)","Cluster 1 (lagging behind)","-2 clusters or more"
"PR",2,2,0,"Cluster 2","Cluster 2","remained the same"
"RJ",4,3,-1,"Cluster 4","Cluster 3","-1 cluster"
"RN",2,2,0,"Cluster 2","Cluster 2","remained the same"
"RO",5,1,-4,"Cluster 5 (top performer)","Cluster 1 (lagging behind)","-2 clusters or more"
"RR",5,3,-2,"Cluster 5 (top performer)","Cluster 3","-2 clusters or more"
"RS",2,3,1,"Cluster 2","Cluster 3","+1 cluster"
"SC",3,2,-1,"Cluster 3","Cluster 2","-1 cluster"
"SE",1,2,1,"Cluster 1 (lagging behind)","Cluster 2","+1 cluster"
"SP",3,5,2,"Cluster 3","Cluster 5 (top performer)","+2 clusters or more"
"TO",1,3,2,"Cluster 1 (lagging behind)","Cluster 3","+2 clusters or more"
