PIB Estadual - preços de mercado
Sigla;Código;Estado;1939;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1970;1975;1980;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;
AC;12;Acre;;;;;;;;;;;;;;;;;;;;;;9,05E-08;2,91E-07;5,32E-06;0,000620185;0,001771361;0,005192642;0,038876349;0,547704719;15,99639309;80,80820123;928,0680459;20105,63289;548356,3313;1237096,725;1459645,547;1555306,521;1694328,657;1866542,316;2154284,485;2475169,496;2971301;3377234;3784003;4300581;4661807;5458172;6410255;7407821;8342356;8949434;10137925;11473930;13458698;13622802;13754240;14272941;15331123;15630017;16476371;21374440,009;
AL;27;Alagoas;1,5E-10;6,23E-10;6,97E-10;8,01E-10;8,69E-10;1,09E-09;1,19E-09;1,35E-09;1,76E-09;2,03E-09;2,88E-09;3,72E-09;4,81E-09;6,91E-09;9,32E-09;1,39E-08;2,22E-08;4,09E-08;7,86E-08;1,24E-07;1,68E-07;4,8E-07;2,39E-06;3,02E-05;0,004074741;0,010037042;0,033596449;0,20071163;2,458330276;81,60226627;428,9000432;4630,854661;93464,35972;2386299,951;4656515,994;5369180,034;6214731,155;6676333,165;6935079,503;7768753,702;8488146,132;11536853;12624030;14044907;15484521;17395671;19871266;22262295;24182388;27133038;31657321;34650397;37282529;40974994;46367211;49468741;52851067;54413047;58963729;63202349;76265620,286;
AM;13;Amazonas;1,84E-10;6,63E-10;6,31E-10;7,01E-10;7,33E-10;9,93E-10;1,14E-09;1,23E-09;1,64E-09;1,94E-09;3,16E-09;4,09E-09;4,7E-09;6,69E-09;9,84E-09;1,71E-08;2,08E-08;3,45E-08;6,81E-08;1,14E-07;1,55E-07;4,86E-07;2,82E-06;5,05E-05;0,007240744;0,022454888;0,072781538;0,53840941;7,521878607;210,0455169;1015,38191;10138,26866;266842,2454;5878452,277;10069421,18;12495041,42;12572250,22;13198509,85;13933920,08;16749755,08;18050376,83;22093338;25862134;31090696;33980877;39933213;43479773;48115265;50559840;60877123;70734401;72242701;83051233;86668644;86568184;89039782;93240191;100109235;108181091;116019139;131531037,762;
AP;16;Amapá;;;;;;;;;;;;;;;;;;;;;;7,91E-08;2,25E-07;3,72E-06;0,00057356;0,001458137;0,004727627;0,040189169;0,764695186;18,59140125;96,91090206;1125,864717;23048,07566;624582,2361;1506572,834;1819439,914;2030049,846;2038322,541;2128307,033;2357035,636;2801925,026;3173343;3413195;3824740;4306410;5280822;6012523;6950413;7490656;8237795;9409228;11130868;12763486;13400284;13861293;14342135;15481908;16795207;17496661;18469115;20099850,517;
BA;29;Bahia;7,59E-10;2,82E-09;3,07E-09;3,33E-09;3,87E-09;4,56E-09;5,12E-09;6,39E-09;9,69E-09;1,12E-08;1,41E-08;1,76E-08;2,28E-08;3,52E-08;4,9E-08;6,32E-08;9,99E-08;1,68E-07;3,73E-07;6,39E-07;9,35E-07;2,69E-06;1,41E-05;0,000197595;0,025442117;0,065506063;0,189983563;1,404576434;19,2211499;518,9828251;2652,432271;28114,11123;611119,1179;14972456,45;26427274,23;32430856,07;36528096,93;37838126;41883129,02;46523212,32;51095879,58;58842976;67174227;77931725;88291883;95347802;109329528;121667455;137942481;154419547;166602817;182572530;204844274;223929966;245043690;258738970;268724090;286239541;293240504;305320813;352617851,769;
CE;23;Ceará;3,53E-10;1,2E-09;1,37E-09;1,63E-09;2,14E-09;2,01E-09;2,63E-09;2,67E-09;3,63E-09;4,47E-09;6,49E-09;8,1E-09;6,45E-09;1,55E-08;2,27E-08;3,2E-08;5,76E-08;1,01E-07;2,1E-07;3,45E-07;4,54E-07;1,02E-06;4,93E-06;7,03E-05;0,008189181;0,02214188;0,064582446;0,474176948;6,55462169;187,0200214;1103,797982;11750,97675;256992,4611;6583971,088;13740241,69;17149445,2;18537642,82;19219949,45;20733661,55;22607131,41;24532751,18;28718840;32687418;36890816;41059459;46500321;50818749;60415574;67199958;79336299;89695828;96973753;109036556;126054472;130629849;138422521;147921534;155903825;163575327;166914536;194884801,547;
DF;53;Distrito Federal;;;;;;;;;;;;;;;;;;;;;;8,93E-07;5,24E-06;9,13E-05;0,006495394;0,018676894;0,056863386;0,419464079;6,552041576;186,0507524;1396,036917;12978,01217;272431,2859;6778008,796;31133118,64;38656726,6;43800561,47;47286595,8;48619189,39;46474890,26;51523398,38;53902200;58456124;67076505;75732681;84661406;93404001;110299557;124323753;144174102;154568954;164101336;175906726;197432059;215612863;235540045;244722249;254817205;273613711;265847334;286943782,027;
ES;32;Espírito Santo;2,01E-10;7,53E-10;8,38E-10;1,24E-09;1,34E-09;2,13E-09;1,78E-09;2,25E-09;2,99E-09;3,53E-09;4,31E-09;5,46E-09;6,09E-09;8,96E-09;1,21E-08;1,5E-08;2,55E-08;4,68E-08;1,24E-07;1,77E-07;2,64E-07;8,31E-07;3,96E-06;6,7E-05;0,008162701;0,022440778;0,059311838;0,445436402;7,234426238;191,5141207;998,6262934;10802,93283;232453,8199;6369394,966;14059095,24;16007846,84;17733917,02;18394274,69;19842972,61;23248586,26;24333663,3;27048997;31519106;39732638;47020588;53463868;60658395;72091158;69215361;85310285;105976222;116850581;117274347;128783781;120365980;109264423;113399937;137020055;137345595;138445922;186336504,77;
GO;52;Goiás;1,99E-10;6,08E-10;7,2E-10;8,54E-10;1,2E-09;1,75E-09;1,59E-09;2,58E-09;3,26E-09;4,37E-09;5,33E-09;5,94E-09;8E-09;1,29E-08;1,63E-08;2,67E-08;5,07E-08;9,15E-08;1,91E-07;3,03E-07;4,22E-07;1,07E-06;5,82E-06;7,79E-05;0,008580578;0,025709562;0,071078302;0,511787904;6,185994032;202,4104274;1135,898599;11199,89492;257273,9551;6810241,493;14461405,84;17722630,22;19825070,24;21120127,89;22191345,55;26249030,74;29914136,3;38629365;45557889;51103815;53865113;61375403;71410568;82417564;92865743;106770109;121296721;138757825;151300175;165015318;173632450;181759604;191948301;195681724;208672492;224126112;269627873,9;
MA;21;Maranhão;2,07E-10;5,15E-10;6,28E-10;6,2E-10;8,05E-10;1,03E-09;1,26E-09;1,59E-09;2,15E-09;2,51E-09;3,17E-09;3,87E-09;5,24E-09;8,93E-09;1,28E-08;1,81E-08;3,26E-08;5,32E-08;1,03E-07;1,68E-07;2,45E-07;5,82E-07;2,78E-06;3,86E-05;0,003529938;0,010243301;0,028887456;0,226972341;3,307274326;92,15262193;490,4672007;5166,841776;109844,6715;2861414,609;6390133,836;8482394,18;9249485,071;9380513,109;10308256,16;11908911,65;13419658,02;15924003;19502900;22127132;25104209;29710643;30730866;37932402;40994571;46309633;52143535;60490109;67694845;76842028;78475994;85310038;89542757;98179496;97339938;106915962;124980719,954;
