,Unidade Territorial,Referência,Perc RF fam PBF
0,RONDÔNIA,2013-12-01,92.4
1,ACRE,2013-12-01,90.4
2,AMAZONAS,2013-12-01,90.5
3,RORAIMA,2013-12-01,88.0
4,PARÁ,2013-12-01,91.5
5,AMAPÁ,2013-12-01,92.1
6,TOCANTINS,2013-12-01,91.8
7,MARANHÃO,2013-12-01,90.7
8,PIAUÍ,2013-12-01,90.0
9,CEARÁ,2013-12-01,94.0
10,RIO GRANDE DO NORTE,2013-12-01,92.5
11,PARAÍBA,2013-12-01,93.1
12,PERNAMBUCO,2013-12-01,91.3
13,ALAGOAS,2013-12-01,92.0
14,SERGIPE,2013-12-01,91.8
15,BAHIA,2013-12-01,91.3
16,MINAS GERAIS,2013-12-01,92.6
17,ESPÍRITO SANTO,2013-12-01,92.9
18,RIO DE JANEIRO,2013-12-01,94.0
19,SÃO PAULO,2013-12-01,93.9
20,PARANÁ,2013-12-01,92.2
21,SANTA CATARINA,2013-12-01,93.0
22,RIO GRANDE DO SUL,2013-12-01,92.8
23,MATO GROSSO DO SUL,2013-12-01,91.7
24,MATO GROSSO,2013-12-01,93.4
25,GOIÁS,2013-12-01,93.8
26,DISTRITO FEDERAL,2013-12-01,93.8
27,RONDÔNIA,2014-01-01,92.5
28,ACRE,2014-01-01,90.4
29,AMAZONAS,2014-01-01,90.5
30,RORAIMA,2014-01-01,88.1
31,PARÁ,2014-01-01,91.5
32,AMAPÁ,2014-01-01,92.1
33,TOCANTINS,2014-01-01,91.8
34,MARANHÃO,2014-01-01,90.7
35,PIAUÍ,2014-01-01,90.1
36,CEARÁ,2014-01-01,94.0
37,RIO GRANDE DO NORTE,2014-01-01,92.6
38,PARAÍBA,2014-01-01,93.1
39,PERNAMBUCO,2014-01-01,91.4
40,ALAGOAS,2014-01-01,92.0
41,SERGIPE,2014-01-01,91.8
42,BAHIA,2014-01-01,91.3
43,MINAS GERAIS,2014-01-01,92.6
44,ESPÍRITO SANTO,2014-01-01,93.0
45,RIO DE JANEIRO,2014-01-01,94.0
46,SÃO PAULO,2014-01-01,93.9
47,PARANÁ,2014-01-01,92.3
48,SANTA CATARINA,2014-01-01,93.0
49,RIO GRANDE DO SUL,2014-01-01,92.8
50,MATO GROSSO DO SUL,2014-01-01,91.8
51,MATO GROSSO,2014-01-01,93.4
52,GOIÁS,2014-01-01,93.8
53,DISTRITO FEDERAL,2014-01-01,93.8
54,RONDÔNIA,2014-02-01,92.5
55,ACRE,2014-02-01,90.4
56,AMAZONAS,2014-02-01,90.5
57,RORAIMA,2014-02-01,88.1
58,PARÁ,2014-02-01,91.5
59,AMAPÁ,2014-02-01,92.1
60,TOCANTINS,2014-02-01,91.8
61,MARANHÃO,2014-02-01,90.7
62,PIAUÍ,2014-02-01,90.1
63,CEARÁ,2014-02-01,94.0
64,RIO GRANDE DO NORTE,2014-02-01,92.6
65,PARAÍBA,2014-02-01,93.1
66,PERNAMBUCO,2014-02-01,91.4
67,ALAGOAS,2014-02-01,92.0
68,SERGIPE,2014-02-01,91.8
69,BAHIA,2014-02-01,91.3
70,MINAS GERAIS,2014-02-01,92.6
71,ESPÍRITO SANTO,2014-02-01,93.0
72,RIO DE JANEIRO,2014-02-01,94.0
73,SÃO PAULO,2014-02-01,93.8
74,PARANÁ,2014-02-01,92.2
75,SANTA CATARINA,2014-02-01,92.9
76,RIO GRANDE DO SUL,2014-02-01,92.7
77,MATO GROSSO DO SUL,2014-02-01,91.7
78,MATO GROSSO,2014-02-01,93.4
79,GOIÁS,2014-02-01,93.8
80,DISTRITO FEDERAL,2014-02-01,93.8
81,RONDÔNIA,2014-03-01,92.5
82,ACRE,2014-03-01,90.3
83,AMAZONAS,2014-03-01,90.4
84,RORAIMA,2014-03-01,88.2
85,PARÁ,2014-03-01,91.5
86,AMAPÁ,2014-03-01,92.1
87,TOCANTINS,2014-03-01,91.7
88,MARANHÃO,2014-03-01,90.7
89,PIAUÍ,2014-03-01,89.9
90,CEARÁ,2014-03-01,93.8
91,RIO GRANDE DO NORTE,2014-03-01,92.4
92,PARAÍBA,2014-03-01,93.0
93,PERNAMBUCO,2014-03-01,91.4
94,ALAGOAS,2014-03-01,91.9
95,SERGIPE,2014-03-01,91.7
96,BAHIA,2014-03-01,91.1
97,MINAS GERAIS,2014-03-01,92.5
98,ESPÍRITO SANTO,2014-03-01,92.8
99,RIO DE JANEIRO,2014-03-01,94.0
100,SÃO PAULO,2014-03-01,93.7
101,PARANÁ,2014-03-01,92.1
102,SANTA CATARINA,2014-03-01,92.8
103,RIO GRANDE DO SUL,2014-03-01,92.5
104,MATO GROSSO DO SUL,2014-03-01,91.6
105,MATO GROSSO,2014-03-01,93.2
106,GOIÁS,2014-03-01,93.8
107,DISTRITO FEDERAL,2014-03-01,93.8
108,RONDÔNIA,2014-04-01,92.4
109,ACRE,2014-04-01,90.2
110,AMAZONAS,2014-04-01,90.4
111,RORAIMA,2014-04-01,88.2
112,PARÁ,2014-04-01,91.5
113,AMAPÁ,2014-04-01,92.0
114,TOCANTINS,2014-04-01,91.6
115,MARANHÃO,2014-04-01,90.6
116,PIAUÍ,2014-04-01,89.8
117,CEARÁ,2014-04-01,93.8
118,RIO GRANDE DO NORTE,2014-04-01,92.3
119,PARAÍBA,2014-04-01,92.9
120,PERNAMBUCO,2014-04-01,91.3
121,ALAGOAS,2014-04-01,91.9
122,SERGIPE,2014-04-01,91.6
123,BAHIA,2014-04-01,91.0
124,MINAS GERAIS,2014-04-01,92.5
125,ESPÍRITO SANTO,2014-04-01,92.8
126,RIO DE JANEIRO,2014-04-01,93.9
127,SÃO PAULO,2014-04-01,93.5
128,PARANÁ,2014-04-01,92.0
129,SANTA CATARINA,2014-04-01,92.8
130,RIO GRANDE DO SUL,2014-04-01,92.4
131,MATO GROSSO DO SUL,2014-04-01,91.5
132,MATO GROSSO,2014-04-01,93.1
133,GOIÁS,2014-04-01,93.7
134,DISTRITO FEDERAL,2014-04-01,93.9
135,RONDÔNIA,2014-05-01,92.5
136,ACRE,2014-05-01,90.3
137,AMAZONAS,2014-05-01,90.5
138,RORAIMA,2014-05-01,88.2
139,PARÁ,2014-05-01,91.5
140,AMAPÁ,2014-05-01,92.1
141,TOCANTINS,2014-05-01,91.7
142,MARANHÃO,2014-05-01,90.7
143,PIAUÍ,2014-05-01,89.9
144,CEARÁ,2014-05-01,93.8
145,RIO GRANDE DO NORTE,2014-05-01,92.4
146,PARAÍBA,2014-05-01,93.0
147,PERNAMBUCO,2014-05-01,91.3
148,ALAGOAS,2014-05-01,91.9
149,SERGIPE,2014-05-01,91.7
150,BAHIA,2014-05-01,91.1
151,MINAS GERAIS,2014-05-01,92.5
152,ESPÍRITO SANTO,2014-05-01,92.8
153,RIO DE JANEIRO,2014-05-01,94.0
154,SÃO PAULO,2014-05-01,93.5
155,PARANÁ,2014-05-01,92.1
156,SANTA CATARINA,2014-05-01,92.8
157,RIO GRANDE DO SUL,2014-05-01,92.5
158,MATO GROSSO DO SUL,2014-05-01,91.6
159,MATO GROSSO,2014-05-01,93.2
160,GOIÁS,2014-05-01,93.8
161,DISTRITO FEDERAL,2014-05-01,93.8
162,RONDÔNIA,2014-06-01,93.1
163,ACRE,2014-06-01,90.6
164,AMAZONAS,2014-06-01,90.7
165,RORAIMA,2014-06-01,88.7
166,PARÁ,2014-06-01,91.8
167,AMAPÁ,2014-06-01,92.3
168,TOCANTINS,2014-06-01,92.4
169,MARANHÃO,2014-06-01,90.9
170,PIAUÍ,2014-06-01,90.2
171,CEARÁ,2014-06-01,94.1
172,RIO GRANDE DO NORTE,2014-06-01,92.7
173,PARAÍBA,2014-06-01,93.2
174,PERNAMBUCO,2014-06-01,91.6
175,ALAGOAS,2014-06-01,92.3
176,SERGIPE,2014-06-01,91.9
177,BAHIA,2014-06-01,91.3
178,MINAS GERAIS,2014-06-01,93.0
179,ESPÍRITO SANTO,2014-06-01,93.4
180,RIO DE JANEIRO,2014-06-01,94.2
181,SÃO PAULO,2014-06-01,93.9
182,PARANÁ,2014-06-01,92.8
183,SANTA CATARINA,2014-06-01,93.8
184,RIO GRANDE DO SUL,2014-06-01,93.0
185,MATO GROSSO DO SUL,2014-06-01,92.5
186,MATO GROSSO,2014-06-01,93.8
187,GOIÁS,2014-06-01,94.6
188,DISTRITO FEDERAL,2014-06-01,94.0
189,RONDÔNIA,2014-07-01,93.1
190,ACRE,2014-07-01,90.6
191,AMAZONAS,2014-07-01,90.5
192,RORAIMA,2014-07-01,88.8
193,PARÁ,2014-07-01,91.7
194,AMAPÁ,2014-07-01,92.4
195,TOCANTINS,2014-07-01,92.4
196,MARANHÃO,2014-07-01,90.6
197,PIAUÍ,2014-07-01,89.8
198,CEARÁ,2014-07-01,93.9
199,RIO GRANDE DO NORTE,2014-07-01,92.6
200,PARAÍBA,2014-07-01,93.0
201,PERNAMBUCO,2014-07-01,91.4
202,ALAGOAS,2014-07-01,92.1
203,SERGIPE,2014-07-01,91.5
204,BAHIA,2014-07-01,91.0
205,MINAS GERAIS,2014-07-01,92.9
206,ESPÍRITO SANTO,2014-07-01,93.4
207,RIO DE JANEIRO,2014-07-01,94.2
208,SÃO PAULO,2014-07-01,93.8
209,PARANÁ,2014-07-01,92.8
210,SANTA CATARINA,2014-07-01,93.7
211,RIO GRANDE DO SUL,2014-07-01,92.9
212,MATO GROSSO DO SUL,2014-07-01,92.5
213,MATO GROSSO,2014-07-01,93.8
214,GOIÁS,2014-07-01,94.5
215,DISTRITO FEDERAL,2014-07-01,94.2
216,RONDÔNIA,2014-08-01,93.2
217,ACRE,2014-08-01,90.7
218,AMAZONAS,2014-08-01,90.4
219,RORAIMA,2014-08-01,88.9
220,PARÁ,2014-08-01,91.8
221,AMAPÁ,2014-08-01,92.5
222,TOCANTINS,2014-08-01,92.4
223,MARANHÃO,2014-08-01,90.6
224,PIAUÍ,2014-08-01,89.8
225,CEARÁ,2014-08-01,93.9
226,RIO GRANDE DO NORTE,2014-08-01,92.6
227,PARAÍBA,2014-08-01,93.0
228,PERNAMBUCO,2014-08-01,91.4
229,ALAGOAS,2014-08-01,92.2
230,SERGIPE,2014-08-01,91.5
231,BAHIA,2014-08-01,91.1
232,MINAS GERAIS,2014-08-01,92.9
233,ESPÍRITO SANTO,2014-08-01,93.5
234,RIO DE JANEIRO,2014-08-01,94.2
235,SÃO PAULO,2014-08-01,93.9
236,PARANÁ,2014-08-01,92.8
237,SANTA CATARINA,2014-08-01,93.8
238,RIO GRANDE DO SUL,2014-08-01,93.0
239,MATO GROSSO DO SUL,2014-08-01,92.6
240,MATO GROSSO,2014-08-01,93.8
241,GOIÁS,2014-08-01,94.6
242,DISTRITO FEDERAL,2014-08-01,94.3
243,RONDÔNIA,2014-09-01,93.2
244,ACRE,2014-09-01,90.7
245,AMAZONAS,2014-09-01,90.4
246,RORAIMA,2014-09-01,88.9
247,PARÁ,2014-09-01,91.8
248,AMAPÁ,2014-09-01,92.5
249,TOCANTINS,2014-09-01,92.4
250,MARANHÃO,2014-09-01,90.6
251,PIAUÍ,2014-09-01,89.8
252,CEARÁ,2014-09-01,94.0
253,RIO GRANDE DO NORTE,2014-09-01,92.6
254,PARAÍBA,2014-09-01,93.0
255,PERNAMBUCO,2014-09-01,91.4
256,ALAGOAS,2014-09-01,92.2
257,SERGIPE,2014-09-01,91.5
258,BAHIA,2014-09-01,91.1
259,MINAS GERAIS,2014-09-01,93.0
260,ESPÍRITO SANTO,2014-09-01,93.5
261,RIO DE JANEIRO,2014-09-01,94.2
262,SÃO PAULO,2014-09-01,93.9
263,PARANÁ,2014-09-01,92.9
264,SANTA CATARINA,2014-09-01,93.8
265,RIO GRANDE DO SUL,2014-09-01,93.0
266,MATO GROSSO DO SUL,2014-09-01,92.6
267,MATO GROSSO,2014-09-01,93.8
268,GOIÁS,2014-09-01,94.6
269,DISTRITO FEDERAL,2014-09-01,94.3
270,RONDÔNIA,2014-10-01,92.9
271,ACRE,2014-10-01,90.6
272,AMAZONAS,2014-10-01,90.3
273,RORAIMA,2014-10-01,88.8
274,PARÁ,2014-10-01,91.7
275,AMAPÁ,2014-10-01,92.4
276,TOCANTINS,2014-10-01,92.4
277,MARANHÃO,2014-10-01,90.6
278,PIAUÍ,2014-10-01,89.8
279,CEARÁ,2014-10-01,93.9
280,RIO GRANDE DO NORTE,2014-10-01,92.6
281,PARAÍBA,2014-10-01,93.0
282,PERNAMBUCO,2014-10-01,91.3
283,ALAGOAS,2014-10-01,92.1
284,SERGIPE,2014-10-01,91.5
285,BAHIA,2014-10-01,91.0
286,MINAS GERAIS,2014-10-01,92.8
287,ESPÍRITO SANTO,2014-10-01,93.3
288,RIO DE JANEIRO,2014-10-01,94.0
289,SÃO PAULO,2014-10-01,93.6
290,PARANÁ,2014-10-01,92.6
291,SANTA CATARINA,2014-10-01,93.5
292,RIO GRANDE DO SUL,2014-10-01,92.8
293,MATO GROSSO DO SUL,2014-10-01,92.2
294,MATO GROSSO,2014-10-01,93.7
295,GOIÁS,2014-10-01,94.5
296,DISTRITO FEDERAL,2014-10-01,94.0
297,RONDÔNIA,2014-11-01,93.2
298,ACRE,2014-11-01,90.7
299,AMAZONAS,2014-11-01,90.4
300,RORAIMA,2014-11-01,89.0
301,PARÁ,2014-11-01,91.8
302,AMAPÁ,2014-11-01,92.5
303,TOCANTINS,2014-11-01,92.5
304,MARANHÃO,2014-11-01,90.6
305,PIAUÍ,2014-11-01,89.8
306,CEARÁ,2014-11-01,94.0
307,RIO GRANDE DO NORTE,2014-11-01,92.7
308,PARAÍBA,2014-11-01,93.1
309,PERNAMBUCO,2014-11-01,91.5
310,ALAGOAS,2014-11-01,92.2
311,SERGIPE,2014-11-01,91.6
312,BAHIA,2014-11-01,91.1
313,MINAS GERAIS,2014-11-01,93.0
314,ESPÍRITO SANTO,2014-11-01,93.5
315,RIO DE JANEIRO,2014-11-01,94.3
316,SÃO PAULO,2014-11-01,93.7
317,PARANÁ,2014-11-01,92.9
318,SANTA CATARINA,2014-11-01,93.7
319,RIO GRANDE DO SUL,2014-11-01,93.0
320,MATO GROSSO DO SUL,2014-11-01,92.6
321,MATO GROSSO,2014-11-01,93.8
322,GOIÁS,2014-11-01,94.6
323,DISTRITO FEDERAL,2014-11-01,94.3
324,RONDÔNIA,2014-12-01,93.2
325,ACRE,2014-12-01,90.7
326,AMAZONAS,2014-12-01,90.4
327,RORAIMA,2014-12-01,89.0
328,PARÁ,2014-12-01,91.8
329,AMAPÁ,2014-12-01,92.5
330,TOCANTINS,2014-12-01,92.5
331,MARANHÃO,2014-12-01,90.7
332,PIAUÍ,2014-12-01,89.8
333,CEARÁ,2014-12-01,94.0
334,RIO GRANDE DO NORTE,2014-12-01,92.7
335,PARAÍBA,2014-12-01,93.1
336,PERNAMBUCO,2014-12-01,91.5
337,ALAGOAS,2014-12-01,92.2
338,SERGIPE,2014-12-01,91.6
339,BAHIA,2014-12-01,91.1
340,MINAS GERAIS,2014-12-01,93.0
341,ESPÍRITO SANTO,2014-12-01,93.5
342,RIO DE JANEIRO,2014-12-01,94.3
343,SÃO PAULO,2014-12-01,93.6
344,PARANÁ,2014-12-01,92.8
345,SANTA CATARINA,2014-12-01,93.6
346,RIO GRANDE DO SUL,2014-12-01,93.0
347,MATO GROSSO DO SUL,2014-12-01,92.7
348,MATO GROSSO,2014-12-01,93.8
349,GOIÁS,2014-12-01,94.6
350,DISTRITO FEDERAL,2014-12-01,94.3
351,RONDÔNIA,2015-01-01,93.2
352,ACRE,2015-01-01,90.8
353,AMAZONAS,2015-01-01,84.6
354,RORAIMA,2015-01-01,89.1
355,PARÁ,2015-01-01,91.8
356,AMAPÁ,2015-01-01,92.5
357,TOCANTINS,2015-01-01,92.5
358,MARANHÃO,2015-01-01,90.7
359,PIAUÍ,2015-01-01,89.9
360,CEARÁ,2015-01-01,94.0
361,RIO GRANDE DO NORTE,2015-01-01,92.7
362,PARAÍBA,2015-01-01,93.1
363,PERNAMBUCO,2015-01-01,91.5
364,ALAGOAS,2015-01-01,92.3
365,SERGIPE,2015-01-01,91.6
366,BAHIA,2015-01-01,91.1
367,MINAS GERAIS,2015-01-01,93.0
368,ESPÍRITO SANTO,2015-01-01,93.5
369,RIO DE JANEIRO,2015-01-01,94.3
370,SÃO PAULO,2015-01-01,93.6
371,PARANÁ,2015-01-01,92.9
372,SANTA CATARINA,2015-01-01,93.7
373,RIO GRANDE DO SUL,2015-01-01,93.0
374,MATO GROSSO DO SUL,2015-01-01,92.7
375,MATO GROSSO,2015-01-01,93.9
376,GOIÁS,2015-01-01,94.6
377,DISTRITO FEDERAL,2015-01-01,94.3
378,RONDÔNIA,2015-02-01,93.2
379,ACRE,2015-02-01,90.8
380,AMAZONAS,2015-02-01,90.4
381,RORAIMA,2015-02-01,89.0
382,PARÁ,2015-02-01,91.8
383,AMAPÁ,2015-02-01,92.5
384,TOCANTINS,2015-02-01,92.5
385,MARANHÃO,2015-02-01,90.7
386,PIAUÍ,2015-02-01,89.9
387,CEARÁ,2015-02-01,94.0
388,RIO GRANDE DO NORTE,2015-02-01,92.7
389,PARAÍBA,2015-02-01,93.1
390,PERNAMBUCO,2015-02-01,91.5
391,ALAGOAS,2015-02-01,92.3
392,SERGIPE,2015-02-01,91.6
393,BAHIA,2015-02-01,91.1
394,MINAS GERAIS,2015-02-01,93.0
395,ESPÍRITO SANTO,2015-02-01,93.6
396,RIO DE JANEIRO,2015-02-01,94.3
397,SÃO PAULO,2015-02-01,93.7
398,PARANÁ,2015-02-01,92.9
399,SANTA CATARINA,2015-02-01,93.7
400,RIO GRANDE DO SUL,2015-02-01,93.0
401,MATO GROSSO DO SUL,2015-02-01,92.7
402,MATO GROSSO,2015-02-01,93.9
403,GOIÁS,2015-02-01,94.7
404,DISTRITO FEDERAL,2015-02-01,94.3
405,RONDÔNIA,2015-03-01,93.2
406,ACRE,2015-03-01,90.8
407,AMAZONAS,2015-03-01,90.4
408,RORAIMA,2015-03-01,89.1
409,PARÁ,2015-03-01,91.8
410,AMAPÁ,2015-03-01,92.5
411,TOCANTINS,2015-03-01,92.5
412,MARANHÃO,2015-03-01,90.7
413,PIAUÍ,2015-03-01,89.9
414,CEARÁ,2015-03-01,94.0
415,RIO GRANDE DO NORTE,2015-03-01,92.8
416,PARAÍBA,2015-03-01,93.1
417,PERNAMBUCO,2015-03-01,91.5
418,ALAGOAS,2015-03-01,92.3
419,SERGIPE,2015-03-01,91.6
420,BAHIA,2015-03-01,91.1
421,MINAS GERAIS,2015-03-01,93.1
422,ESPÍRITO SANTO,2015-03-01,93.6
423,RIO DE JANEIRO,2015-03-01,94.3
424,SÃO PAULO,2015-03-01,93.7
425,PARANÁ,2015-03-01,92.9
426,SANTA CATARINA,2015-03-01,93.7
427,RIO GRANDE DO SUL,2015-03-01,93.1
428,MATO GROSSO DO SUL,2015-03-01,92.8
429,MATO GROSSO,2015-03-01,93.9
430,GOIÁS,2015-03-01,94.7
431,DISTRITO FEDERAL,2015-03-01,94.4
432,RONDÔNIA,2015-04-01,93.3
433,ACRE,2015-04-01,90.8
434,AMAZONAS,2015-04-01,90.4
435,RORAIMA,2015-04-01,89.3
436,PARÁ,2015-04-01,91.9
437,AMAPÁ,2015-04-01,92.6
438,TOCANTINS,2015-04-01,92.6
439,MARANHÃO,2015-04-01,90.7
440,PIAUÍ,2015-04-01,89.9
441,CEARÁ,2015-04-01,94.1
442,RIO GRANDE DO NORTE,2015-04-01,92.8
443,PARAÍBA,2015-04-01,93.1
444,PERNAMBUCO,2015-04-01,91.5
445,ALAGOAS,2015-04-01,92.4
446,SERGIPE,2015-04-01,91.7
447,BAHIA,2015-04-01,91.2
448,MINAS GERAIS,2015-04-01,93.0
449,ESPÍRITO SANTO,2015-04-01,93.5
450,RIO DE JANEIRO,2015-04-01,94.1
451,SÃO PAULO,2015-04-01,93.3
452,PARANÁ,2015-04-01,92.8
453,SANTA CATARINA,2015-04-01,93.6
454,RIO GRANDE DO SUL,2015-04-01,93.0
455,MATO GROSSO DO SUL,2015-04-01,92.8
456,MATO GROSSO,2015-04-01,93.8
457,GOIÁS,2015-04-01,94.7
458,DISTRITO FEDERAL,2015-04-01,94.3
459,RONDÔNIA,2015-05-01,93.3
460,ACRE,2015-05-01,90.8
461,AMAZONAS,2015-05-01,90.4
462,RORAIMA,2015-05-01,89.3
463,PARÁ,2015-05-01,91.9
464,AMAPÁ,2015-05-01,92.6
465,TOCANTINS,2015-05-01,92.6
466,MARANHÃO,2015-05-01,90.7
467,PIAUÍ,2015-05-01,89.9
468,CEARÁ,2015-05-01,94.1
469,RIO GRANDE DO NORTE,2015-05-01,92.8
470,PARAÍBA,2015-05-01,93.1
471,PERNAMBUCO,2015-05-01,91.5
472,ALAGOAS,2015-05-01,92.4
473,SERGIPE,2015-05-01,91.7
474,BAHIA,2015-05-01,91.2
475,MINAS GERAIS,2015-05-01,93.0
476,ESPÍRITO SANTO,2015-05-01,93.5
477,RIO DE JANEIRO,2015-05-01,94.1
478,SÃO PAULO,2015-05-01,93.3
479,PARANÁ,2015-05-01,92.8
480,SANTA CATARINA,2015-05-01,93.6
481,RIO GRANDE DO SUL,2015-05-01,93.0
482,MATO GROSSO DO SUL,2015-05-01,92.8
483,MATO GROSSO,2015-05-01,93.9
484,GOIÁS,2015-05-01,94.7
485,DISTRITO FEDERAL,2015-05-01,94.3
486,RONDÔNIA,2015-06-01,93.3
487,ACRE,2015-06-01,90.7
488,AMAZONAS,2015-06-01,90.4
489,RORAIMA,2015-06-01,89.4
490,PARÁ,2015-06-01,91.9
491,AMAPÁ,2015-06-01,92.7
492,TOCANTINS,2015-06-01,92.6
493,MARANHÃO,2015-06-01,90.7
494,PIAUÍ,2015-06-01,90.0
495,CEARÁ,2015-06-01,94.1
