,"CO₂e (GWP SAR)
(Gg)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
0,Rondônia,115564.09579607636,85520.72163531365,110961.09807502804,121666.69226295184,120593.66250029749,292540.8345430496,133543.62730921461,104044.11684816603,104371.44595913716,130632.31767746671,131572.08251939996,153424.96877308236,175325.25765194406,238520.74461255778,261227.23273573935,206739.81390919513,145085.0765167517,107511.63670848632,68412.360123783,12255.858775144115,8170.725169002358,39325.60633311597,33516.04037034059,44388.29946354415,26821.871491402733,52857.366410480245,78812.64527984988
1,Acre,35149.15223012636,23851.485394885603,31297.859882776316,34511.967874663984,33980.702208645744,86888.76168494325,24122.158131185388,18605.390340103233,31824.786826435597,25022.535142967034,31803.61208713848,22740.462293708213,58117.007740455985,79394.44106820443,49427.91092121164,35044.62131324212,36514.77089220131,8588.69862523799,17610.35560841285,5595.373403523438,16375.660522311266,9574.5386094382,12066.651414094948,4659.277904753686,12305.099765289686,8758.332062554644,18319.260921927525
2,Amazonas,35754.777398120365,18333.821824201743,19966.505355995916,4866.225960387757,265.008063379983,74086.79829373908,-2547.209088021483,-31277.630304014987,-28082.50196012364,-42843.67102250147,-55356.41508970545,-52579.243452761795,-48224.2032275305,58385.104757846115,17237.5646875443,-38442.46992452388,-27416.547090677836,-55289.04938353916,-56509.40973559617,-91509.18154441146,-75381.62965483933,-104310.21050348412,-103213.84543836735,-98929.62860666169,-105226.76765595163,-89060.34188565133,-56224.51926118652
3,Roraima,5085.069935294256,3118.771300448484,-6235.135630258646,-5487.52646223469,-5569.828598126345,5776.767452889537,4853.42700655695,1998.072654178383,5501.887528827013,2248.9253123889534,1928.6179512298809,12973.569011422846,-15169.34649485184,63133.558788339054,38343.1620038959,1112.8453240010672,-4489.97333052378,-1834.9908960404182,14929.833008909072,-13899.506361098345,-5971.89115940995,-10773.143785747023,-12054.317791704476,-8279.018972024214,-4049.0813475706755,-9210.205746624872,-5155.762692532798
4,Pará,224556.936510828,166672.53638329878,207031.03064000397,226250.0930454021,218596.7401223473,573722.9234800815,421608.8882674621,259343.81091237816,390150.30020074866,336329.7309839692,446774.033397764,348694.07165460987,525091.7173682271,690649.4964113126,896008.2440865771,528307.1110351079,393745.21608187235,349498.6529648577,358687.47803550184,222106.7212828986,173680.00350467835,128961.61751983334,19213.318278812927,71462.56666809105,31793.78800398031,56755.26617571013,130443.5853718493
5,Amapá,-629.3354838569727,-1980.206333269032,-3438.9868544280935,-3343.594344673729,-3349.314585776775,-725.5698018513916,-5775.544198147727,3889.905791204058,8840.49413445219,-8068.651053694751,-7944.716024318246,-3872.137044861889,-8003.313575656986,-2131.8177018758633,4941.7726249462985,77.98007258142755,-6645.174896914209,-7590.118040419146,-3339.3861163203974,-5337.364855942964,-6489.925272994938,-8124.126739892921,-11993.792195197855,-12146.753722942523,-11186.569578048677,-12028.7620078199,-12855.239657917276
6,Tocantins,39182.239451782785,34255.474645620496,39595.26190984299,41238.56794276236,40945.058567385684,76449.69503566332,45011.47719622079,42250.6077164392,59764.05815269526,35348.78063731828,36588.55245234875,33375.317172982766,33390.66675490502,72676.83634821871,73382.7217560118,85473.98686555719,53603.71616042197,32620.804112506117,40334.88644645921,33115.18514529075,31034.00919825716,21390.66336404421,22736.834345244442,43984.386967112434,31722.672730210634,46141.61003227383,20476.63541998513
7,Maranhão,87259.32220194346,74233.66764344674,84477.18873759385,88719.14499397817,88099.84790289769,176548.3979607945,120301.29784024268,68937.38669453288,115664.53330410246,136181.14776542506,119448.72242078111,114551.49904511348,122347.70041921313,171716.32306963325,141540.1636883749,148844.36559450702,95271.29374093075,107801.64595260101,168456.90118210294,91962.48772738261,79957.3671868563,80346.15821477197,65163.544305366726,85495.50145407885,75026.21412624171,63048.27364346843,56936.6806693128
8,Piauí,9550.907891423112,9533.976928083104,9699.799098262465,9643.630855308766,9577.281326843142,13006.695148781822,13001.626438596317,12584.74120923983,12564.592456377603,12056.67463747584,11983.79589092827,12060.40245608301,11960.516007016602,17941.908612917163,17955.761938486092,15990.937121145284,15984.516663752143,12256.435986158695,12259.512108746227,15648.44237884436,13588.088946853593,17439.377304124104,17432.46669276907,23299.54836349832,20775.887451952345,14948.610032951692,13636.519500316423
9,Ceará,4654.597786249342,4634.954767633754,4703.535039061574,4682.596154260541,4655.429991626952,6263.372784900302,6264.365930896419,6164.407466019678,6069.580359440883,6067.369925984889,6066.679945576176,6065.7752934343,6058.462199131729,10956.826244375588,10957.46701198061,11746.91803664336,11742.992055074503,10936.283430850965,10956.176300636318,6782.252866016913,3782.911934171087,3536.248008704807,3534.0590202850058,3318.9943019045018,3021.8190391067715,3234.0254049779983,3876.101381366654
