cod;nome;período;valor
13;AM;1989;28.55
14;RR;1989;100.8
15;PA;1989;22.99
16;AP;1989;38.19
17;TO;1989;9.05
21;MA;1989;13.93
23;CE;1989;17.58
24;RN;1989;17.24
25;PB;1989;22.77
26;PE;1989;67.91
27;AL;1989;49.6
28;SE;1989;15.63
29;BA;1989;18.1
31;MG;1989;12.58
32;ES;1989;48.42
33;RJ;1989;66.94
35;SP;1989;63.96
41;PR;1989;20.71
42;SC;1989;13.11
43;RS;1989;33.53
50;MS;1989;33.8
51;MT;1989;31.92
52;GO;1989;29.55
53;DF;1989;37.55
22;PI;1989;9.89
11;RO;1989;61.86
12;AC;1989;50.68
25;PB;1990;21.46
26;PE;1990;69.38
27;AL;1990;40.57
28;SE;1990;20.91
29;BA;1990;13.5
33;RJ;1990;110.87
12;AC;1990;29.1
11;RO;1990;69.52
53;DF;1990;49.85
52;GO;1990;26.01
51;MT;1990;26.37
50;MS;1990;30.8
43;RS;1990;36.75
42;SC;1990;12.18
41;PR;1990;22.03
35;SP;1990;64.59
32;ES;1990;52.52
31;MG;1990;11.87
13;AM;1990;35.59
14;RR;1990;97.8
15;PA;1990;27.72
16;AP;1990;27.88
17;TO;1990;8.86
21;MA;1990;15.68
22;PI;1990;7.43
23;CE;1990;14.64
24;RN;1990;13.73
15;PA;1991;27.13
24;RN;1991;17.33
25;PB;1991;20.83
26;PE;1991;70.54
27;AL;1991;33.24
28;SE;1991;30.19
29;BA;1991;8.02
31;MG;1991;12.22
32;ES;1991;55.58
33;RJ;1991;76.2
35;SP;1991;63.32
41;PR;1991;21.12
42;SC;1991;11.17
43;RS;1991;34.03
50;MS;1991;32.27
51;MT;1991;27.96
52;GO;1991;32.66
53;DF;1991;56.78
11;RO;1991;57.61
12;AC;1991;50.54
13;AM;1991;40.05
14;RR;1991;47.89
16;AP;1991;36.43
17;TO;1991;12.98
21;MA;1991;17.57
22;PI;1991;6.03
23;CE;1991;17.21
50;MS;1992;34.74
24;RN;1992;13.28
23;CE;1992;14.9
22;PI;1992;5.65
21;MA;1992;12.24
17;TO;1992;8.59
16;AP;1992;46.22
15;PA;1992;24.25
14;RR;1992;67.46
51;MT;1992;23.37
13;AM;1992;28.54
12;AC;1992;48.1
42;SC;1992;12.09
43;RS;1992;31.07
53;DF;1992;46.2
52;GO;1992;27.39
11;RO;1992;40.55
41;PR;1992;19.84
25;PB;1992;18.63
26;PE;1992;53.48
27;AL;1992;33.4
28;SE;1992;47.94
29;BA;1992;11.98
31;MG;1992;10.77
32;ES;1992;48.02
33;RJ;1992;65.02
35;SP;1992;58.87
29;BA;1993;24.03
53;DF;1993;59.16
52;GO;1993;25.12
51;MT;1993;24.03
50;MS;1993;33.46
43;RS;1993;22.77
42;SC;1993;11.68
41;PR;1993;22.69
35;SP;1993;56.58
33;RJ;1993;72.33
32;ES;1993;66.91
31;MG;1993;11.74
28;SE;1993;35.21
27;AL;1993;31.9
26;PE;1993;68.39
25;PB;1993;18.67
24;RN;1993;17.97
23;CE;1993;19.85
22;PI;1993;7.48
21;MA;1993;12.35
17;TO;1993;13.74
16;AP;1993;40.97
15;PA;1993;21.69
14;RR;1993;34.04
13;AM;1993;29.28
12;AC;1993;53.93
11;RO;1993;55.78
13;AM;1994;35.53
11;RO;1994;43.58
53;DF;1994;58.57
52;GO;1994;28.29
51;MT;1994;16.55
50;MS;1994;42.58
41;PR;1994;22.65
43;RS;1994;25.67
42;SC;1994;10.86
12;AC;1994;38.43
14;RR;1994;38.87
15;PA;1994;26.47
16;AP;1994;76.35
17;TO;1994;18.18
21;MA;1994;10.04
22;PI;1994;7.25
23;CE;1994;16.77
24;RN;1994;14.78
25;PB;1994;22.44
26;PE;1994;66.01
