cod;nome;período;valor
22;PI;2000;12.1
26;PE;2000;119.91
15;PA;2000;44.37
42;SC;2000;23.8
41;PR;2000;30.43
24;RN;2000;17.01
11;RO;2000;82.07
28;SE;2000;24.81
43;RS;2000;44.98
25;PB;2000;35.31
51;MT;2000;67.3
50;MS;2000;57.48
31;MG;2000;26.61
21;MA;2000;10.41
52;GO;2000;32.85
32;ES;2000;76.5
53;DF;2000;100.66
23;CE;2000;26.48
29;BA;2000;15.47
16;AP;2000;67.68
13;AM;2000;63.25
27;AL;2000;50.74
14;RR;2000;96.75
35;SP;2000;128.79
17;TO;2000;22.64
12;AC;2000;31.22
33;RJ;2000;144.55
32;ES;2001;79.06
12;AC;2001;43.59
13;AM;2001;48.61
16;AP;2001;74.03
29;BA;2001;21.28
23;CE;2001;26.12
53;DF;2001;99.67
52;GO;2001;40.46
21;MA;2001;17.74
31;MG;2001;30.29
50;MS;2001;54.51
51;MT;2001;66.06
15;PA;2001;47.23
25;PB;2001;26.61
26;PE;2001;136.22
22;PI;2001;13.73
41;PR;2001;30.26
33;RJ;2001;138.41
24;RN;2001;21.66
11;RO;2001;92.32
14;RR;2001;73.8
43;RS;2001;52.61
42;SC;2001;32.49
28;SE;2001;36.85
35;SP;2001;128.04
17;TO;2001;26.79
27;AL;2001;53.02
29;BA;2002;22.68
23;CE;2002;25.73
53;DF;2002;87.99
32;ES;2002;89.71
52;GO;2002;43.75
21;MA;2002;20.74
31;MG;2002;39.69
50;MS;2002;55.72
51;MT;2002;66.72
15;PA;2002;62.56
25;PB;2002;36.11
26;PE;2002;133.69
22;PI;2002;17.91
41;PR;2002;33.77
33;RJ;2002;163.58
24;RN;2002;22.72
11;RO;2002;109.58
43;RS;2002;48.39
42;SC;2002;29.27
28;SE;2002;53.19
35;SP;2002;111.15
17;TO;2002;22.57
14;RR;2002;79.56
13;AM;2002;51.39
27;AL;2002;58.83
12;AC;2002;61.57
16;AP;2002;81.7
41;PR;2003;30.99
53;DF;2003;103.86
26;PE;2003;128.27
