time,11,12,13,14,15,16,17,21,22,23,24,25,26,27,28,29,31,32,33,35,41,42,43,50,51,52,53
2012,0.487,0.566,0.589,0.549,0.533,0.528,0.507,0.498,0.495,0.545,0.508,0.516,0.574,0.503,0.569,0.563,0.5,0.489,0.528,0.511,0.483,0.435,0.495,0.475,0.487,0.474,0.601
2013,0.475,0.553,0.581,0.555,0.531,0.513,0.515,0.494,0.535,0.537,0.505,0.513,0.566,0.51,0.572,0.535,0.491,0.499,0.517,0.51,0.473,0.428,0.477,0.472,0.456,0.465,0.579
2014,0.443,0.529,0.562,0.523,0.507,0.522,0.497,0.475,0.516,0.522,0.51,0.524,0.566,0.527,0.543,0.528,0.49,0.501,0.511,0.507,0.464,0.408,0.479,0.472,0.459,0.458,0.573
2015,0.462,0.549,0.553,0.537,0.514,0.547,0.507,0.495,0.52,0.528,0.518,0.531,0.567,0.525,0.539,0.522,0.485,0.505,0.503,0.513,0.453,0.414,0.466,0.449,0.443,0.456,0.58
2016,0.465,0.564,0.558,0.537,0.51,0.554,0.489,0.517,0.528,0.543,0.543,0.527,0.567,0.523,0.567,0.539,0.491,0.51,0.525,0.524,0.476,0.421,0.473,0.47,0.453,0.467,0.578
2017,0.447,0.545,0.591,0.526,0.506,0.589,0.495,0.526,0.529,0.547,0.523,0.548,0.551,0.525,0.551,0.59,0.493,0.506,0.519,0.526,0.481,0.414,0.481,0.464,0.463,0.477,0.593
2018,0.496,0.557,0.544,0.566,0.562,0.546,0.529,0.528,0.53,0.547,0.54,0.549,0.534,0.55,0.577,0.55,0.492,0.509,0.543,0.538,0.492,0.417,0.486,0.49,0.465,0.47,0.57
2019,0.472,0.559,0.566,0.579,0.528,0.513,0.53,0.531,0.537,0.562,0.554,0.561,0.574,0.527,0.581,0.557,0.487,0.52,0.552,0.526,0.477,0.421,0.482,0.483,0.454,0.459,0.553
2020,0.438,0.515,0.533,0.54,0.48,0.5,0.485,0.482,0.473,0.544,0.512,0.512,0.536,0.51,0.524,0.537,0.461,0.484,0.548,0.522,0.462,0.412,0.476,0.469,0.462,0.445,0.548
2021,0.458,0.539,0.541,0.596,0.529,0.529,0.513,0.53,0.516,0.549,0.587,0.562,0.579,0.526,0.568,0.546,0.487,0.508,0.565,0.533,0.475,0.424,0.468,0.496,0.461,0.467,0.566
