,time,12,27,13,16,29,23,53,32,52,21,31,50,51,15,25,26,22,41,33,24,11,14,43,42,28,35,17
1,2012,4.1,4.4,2.1,6.5,15.9,3.0,6.7,7.4,6.1,9.4,9.0,5.5,7.3,5.7,4.7,5.6,6.8,3.5,12.8,2.8,7.4,5.9,5.0,2.3,7.7,5.6,7.2
2,2013,3.7,4.4,2.4,9.5,14.9,2.7,6.9,8.2,5.6,11.1,8.7,5.4,6.8,5.6,3.1,5.3,5.6,3.0,12.6,3.0,6.4,5.9,4.8,1.9,6.5,5.4,7.3
3,2014,3.6,4.6,2.0,11.4,16.8,3.1,7.7,8.0,6.2,8.6,9.3,4.9,7.1,6.8,3.4,5.2,6.1,2.8,11.3,4.1,5.4,6.0,5.3,2.2,5.3,5.7,8.0
4,2015,4.4,4.5,1.6,9.0,18.0,3.6,6.6,8.8,5.6,9.0,9.7,5.1,6.8,6.8,3.5,5.0,5.8,3.1,10.8,4.6,5.4,7.0,5.3,2.1,6.4,6.1,9.6
5,2016,4.9,5.0,1.9,6.7,17.7,4.2,8.2,8.9,5.9,9.9,10.6,5.2,8.2,7.4,3.9,5.8,6.8,3.2,12.0,5.4,7.1,7.8,5.2,2.2,6.3,5.8,11.5
6,2017,4.6,5.2,2.4,7.0,18.4,4.2,8.8,9.7,7.0,10.4,11.0,5.9,9.1,7.9,4.2,5.8,7.5,3.5,12.3,5.6,8.0,9.1,5.4,2.5,6.9,6.1,11.6
7,2018,4.2,5.5,2.4,6.5,19.9,5.0,9.6,10.8,8.1,11.8,11.5,6.1,9.9,7.0,5.7,6.2,8.4,3.9,12.2,6.0,7.0,7.0,6.1,2.7,7.6,6.9,12.4
8,2019,4.6,5.5,3.0,6.4,20.4,5.2,11.3,10.5,8.3,12.3,11.9,6.6,10.2,7.8,6.3,6.1,9.7,3.9,12.4,8.1,6.9,8.8,6.2,2.9,9.0,6.9,12.1
9,2020,4.5,5.7,2.3,4.8,20.1,5.6,9.4,10.2,7.1,12.1,11.2,7.2,8.8,8.0,6.8,6.7,10.2,3.7,13.0,7.7,8.2,7.5,5.7,2.6,9.5,6.9,12.9
10,2022,7.1,7.6,4.1,8.3,21.6,6.8,11.7,11.5,9.1,14.9,11.6,7.1,9.8,8.9,8.9,9.0,10.6,4.5,15.4,8.7,8.0,7.9,5.9,3.4,11.4,7.4,13.6
11,2023,7.2,8.3,4.1,9.9,20.5,6.4,11.2,11.8,8.8,14.1,11.7,6.7,10.3,10.0,7.7,9.2,11.9,4.6,15.4,9.1,7.3,8.7,6.7,3.7,11.4,7.6,14.8
12,2024,8.7,7.5,3.5,10.3,21.7,6.2,11.0,11.8,9.2,14.1,12.8,6.4,9.8,10.0,7.6,9.4,12.1,4.5,15.4,9.8,7.3,9.3,7.1,3.3,12.0,7.6,15.5
