,ANO,AGREGACAO,CODIGO,NOME,GINI,Ano
10,2012-01-01,UF,11.0,Rondônia,0.487,2012
11,2012-01-01,UF,12.0,Acre,0.566,2012
12,2012-01-01,UF,13.0,Amazonas,0.589,2012
13,2012-01-01,UF,14.0,Roraima,0.549,2012
14,2012-01-01,UF,15.0,Pará,0.533,2012
15,2012-01-01,UF,16.0,Amapá,0.528,2012
16,2012-01-01,UF,17.0,Tocantins,0.507,2012
17,2012-01-01,UF,21.0,Maranhão,0.498,2012
18,2012-01-01,UF,22.0,Piauí,0.495,2012
19,2012-01-01,UF,23.0,Ceará,0.545,2012
20,2012-01-01,UF,24.0,Rio Grande do Norte,0.508,2012
21,2012-01-01,UF,25.0,Paraíba,0.516,2012
22,2012-01-01,UF,26.0,Pernambuco,0.574,2012
23,2012-01-01,UF,27.0,Alagoas,0.503,2012
24,2012-01-01,UF,28.0,Sergipe,0.569,2012
25,2012-01-01,UF,29.0,Bahia,0.563,2012
26,2012-01-01,UF,31.0,Minas Gerais,0.5,2012
27,2012-01-01,UF,32.0,Espírito Santo,0.489,2012
28,2012-01-01,UF,33.0,Rio de Janeiro,0.528,2012
29,2012-01-01,UF,35.0,São Paulo,0.511,2012
30,2012-01-01,UF,41.0,Paraná,0.483,2012
31,2012-01-01,UF,42.0,Santa Catarina,0.435,2012
32,2012-01-01,UF,43.0,Rio Grande do Sul,0.495,2012
33,2012-01-01,UF,50.0,Mato Grosso do Sul,0.475,2012
34,2012-01-01,UF,51.0,Mato Grosso,0.487,2012
35,2012-01-01,UF,52.0,Goiás,0.474,2012
36,2012-01-01,UF,53.0,Distrito Federal,0.601,2012
37,2013-01-01,UF,11.0,Rondônia,0.475,2013
38,2013-01-01,UF,12.0,Acre,0.553,2013
39,2013-01-01,UF,13.0,Amazonas,0.581,2013
40,2013-01-01,UF,14.0,Roraima,0.555,2013
41,2013-01-01,UF,15.0,Pará,0.531,2013
42,2013-01-01,UF,16.0,Amapá,0.513,2013
43,2013-01-01,UF,17.0,Tocantins,0.515,2013
44,2013-01-01,UF,21.0,Maranhão,0.494,2013
45,2013-01-01,UF,22.0,Piauí,0.535,2013
46,2013-01-01,UF,23.0,Ceará,0.537,2013
47,2013-01-01,UF,24.0,Rio Grande do Norte,0.505,2013
48,2013-01-01,UF,25.0,Paraíba,0.513,2013
49,2013-01-01,UF,26.0,Pernambuco,0.566,2013
50,2013-01-01,UF,27.0,Alagoas,0.51,2013
51,2013-01-01,UF,28.0,Sergipe,0.572,2013
52,2013-01-01,UF,29.0,Bahia,0.535,2013
53,2013-01-01,UF,31.0,Minas Gerais,0.491,2013
54,2013-01-01,UF,32.0,Espírito Santo,0.499,2013
55,2013-01-01,UF,33.0,Rio de Janeiro,0.517,2013
56,2013-01-01,UF,35.0,São Paulo,0.51,2013
57,2013-01-01,UF,41.0,Paraná,0.473,2013
58,2013-01-01,UF,42.0,Santa Catarina,0.428,2013
59,2013-01-01,UF,43.0,Rio Grande do Sul,0.477,2013
60,2013-01-01,UF,50.0,Mato Grosso do Sul,0.472,2013
61,2013-01-01,UF,51.0,Mato Grosso,0.456,2013
62,2013-01-01,UF,52.0,Goiás,0.465,2013
63,2013-01-01,UF,53.0,Distrito Federal,0.579,2013
64,2014-01-01,UF,11.0,Rondônia,0.443,2014
65,2014-01-01,UF,12.0,Acre,0.529,2014
66,2014-01-01,UF,13.0,Amazonas,0.562,2014
67,2014-01-01,UF,14.0,Roraima,0.523,2014
68,2014-01-01,UF,15.0,Pará,0.507,2014
69,2014-01-01,UF,16.0,Amapá,0.522,2014
70,2014-01-01,UF,17.0,Tocantins,0.497,2014
71,2014-01-01,UF,21.0,Maranhão,0.475,2014
72,2014-01-01,UF,22.0,Piauí,0.516,2014
73,2014-01-01,UF,23.0,Ceará,0.522,2014
74,2014-01-01,UF,24.0,Rio Grande do Norte,0.51,2014
75,2014-01-01,UF,25.0,Paraíba,0.524,2014
76,2014-01-01,UF,26.0,Pernambuco,0.566,2014
77,2014-01-01,UF,27.0,Alagoas,0.527,2014
78,2014-01-01,UF,28.0,Sergipe,0.543,2014
79,2014-01-01,UF,29.0,Bahia,0.528,2014
80,2014-01-01,UF,31.0,Minas Gerais,0.49,2014
81,2014-01-01,UF,32.0,Espírito Santo,0.501,2014
82,2014-01-01,UF,33.0,Rio de Janeiro,0.511,2014
83,2014-01-01,UF,35.0,São Paulo,0.507,2014
84,2014-01-01,UF,41.0,Paraná,0.464,2014
85,2014-01-01,UF,42.0,Santa Catarina,0.408,2014
86,2014-01-01,UF,43.0,Rio Grande do Sul,0.479,2014
87,2014-01-01,UF,50.0,Mato Grosso do Sul,0.472,2014
88,2014-01-01,UF,51.0,Mato Grosso,0.459,2014
89,2014-01-01,UF,52.0,Goiás,0.458,2014
90,2014-01-01,UF,53.0,Distrito Federal,0.573,2014
91,2015-01-01,UF,11.0,Rondônia,0.462,2015
92,2015-01-01,UF,12.0,Acre,0.549,2015
93,2015-01-01,UF,13.0,Amazonas,0.553,2015
94,2015-01-01,UF,14.0,Roraima,0.537,2015
95,2015-01-01,UF,15.0,Pará,0.514,2015
96,2015-01-01,UF,16.0,Amapá,0.547,2015
97,2015-01-01,UF,17.0,Tocantins,0.507,2015
98,2015-01-01,UF,21.0,Maranhão,0.495,2015
99,2015-01-01,UF,22.0,Piauí,0.52,2015
100,2015-01-01,UF,23.0,Ceará,0.528,2015
101,2015-01-01,UF,24.0,Rio Grande do Norte,0.518,2015
102,2015-01-01,UF,25.0,Paraíba,0.531,2015
103,2015-01-01,UF,26.0,Pernambuco,0.567,2015
104,2015-01-01,UF,27.0,Alagoas,0.525,2015
105,2015-01-01,UF,28.0,Sergipe,0.539,2015
106,2015-01-01,UF,29.0,Bahia,0.522,2015
107,2015-01-01,UF,31.0,Minas Gerais,0.485,2015
108,2015-01-01,UF,32.0,Espírito Santo,0.505,2015
109,2015-01-01,UF,33.0,Rio de Janeiro,0.503,2015
110,2015-01-01,UF,35.0,São Paulo,0.513,2015
111,2015-01-01,UF,41.0,Paraná,0.453,2015
112,2015-01-01,UF,42.0,Santa Catarina,0.414,2015
113,2015-01-01,UF,43.0,Rio Grande do Sul,0.466,2015
114,2015-01-01,UF,50.0,Mato Grosso do Sul,0.449,2015
115,2015-01-01,UF,51.0,Mato Grosso,0.443,2015
116,2015-01-01,UF,52.0,Goiás,0.456,2015
117,2015-01-01,UF,53.0,Distrito Federal,0.58,2015
118,2016-01-01,UF,11.0,Rondônia,0.465,2016
119,2016-01-01,UF,12.0,Acre,0.564,2016
120,2016-01-01,UF,13.0,Amazonas,0.558,2016
121,2016-01-01,UF,14.0,Roraima,0.537,2016
122,2016-01-01,UF,15.0,Pará,0.51,2016
123,2016-01-01,UF,16.0,Amapá,0.554,2016
124,2016-01-01,UF,17.0,Tocantins,0.489,2016
125,2016-01-01,UF,21.0,Maranhão,0.517,2016
126,2016-01-01,UF,22.0,Piauí,0.528,2016
127,2016-01-01,UF,23.0,Ceará,0.543,2016
128,2016-01-01,UF,24.0,Rio Grande do Norte,0.543,2016
129,2016-01-01,UF,25.0,Paraíba,0.527,2016
130,2016-01-01,UF,26.0,Pernambuco,0.567,2016
131,2016-01-01,UF,27.0,Alagoas,0.523,2016
132,2016-01-01,UF,28.0,Sergipe,0.567,2016
133,2016-01-01,UF,29.0,Bahia,0.539,2016
134,2016-01-01,UF,31.0,Minas Gerais,0.491,2016
135,2016-01-01,UF,32.0,Espírito Santo,0.51,2016
136,2016-01-01,UF,33.0,Rio de Janeiro,0.525,2016
137,2016-01-01,UF,35.0,São Paulo,0.524,2016
138,2016-01-01,UF,41.0,Paraná,0.476,2016
139,2016-01-01,UF,42.0,Santa Catarina,0.421,2016
140,2016-01-01,UF,43.0,Rio Grande do Sul,0.473,2016
141,2016-01-01,UF,50.0,Mato Grosso do Sul,0.47,2016
142,2016-01-01,UF,51.0,Mato Grosso,0.453,2016
