,AGREGACAO,NOME,IDHM,ESPVIDA,ANOSEST,Ano
10,UF,Rondônia,0.694,70.5,7.76,2012
11,UF,Acre,0.701,72.47,7.72,2012
12,UF,Amazonas,0.691,70.85,8.63,2012
13,UF,Roraima,0.738,70.1,9.59,2012
14,UF,Pará,0.666,71.23,7.6,2012
15,UF,Amapá,0.707,72.77,9.09,2012
16,UF,Tocantins,0.71,72.11,7.98,2012
17,UF,Maranhão,0.648,69.34,6.66,2012
18,UF,Piauí,0.66,70.19,6.54,2012
19,UF,Ceará,0.701,72.78,7.19,2012
20,UF,Rio Grande do Norte,0.695,74.59,7.44,2012
21,UF,Paraíba,0.673,71.8,6.72,2012
22,UF,Pernambuco,0.688,72.03,7.6,2012
23,UF,Alagoas,0.651,69.96,6.8,2012
24,UF,Sergipe,0.684,71.47,7.45,2012
25,UF,Bahia,0.678,72.39,7.25,2012
26,UF,Minas Gerais,0.75,76.12,8.11,2012
27,UF,Espírito Santo,0.758,76.78,8.63,2012
28,UF,Rio de Janeiro,0.762,74.9,9.65,2012
29,UF,São Paulo,0.812,76.8,9.77,2012
30,UF,Paraná,0.772,75.76,8.65,2012
31,UF,Santa Catarina,0.792,77.7,8.95,2012
32,UF,Rio Grande do Sul,0.763,76.62,8.97,2012
33,UF,Mato Grosso do Sul,0.733,74.35,8.31,2012
34,UF,Mato Grosso,0.742,73.16,8.4,2012
35,UF,Goiás,0.744,73.41,8.61,2012
36,UF,Distrito Federal,0.825,76.87,10.88,2012
37,UF,Rondônia,0.687,70.71,7.74,2013
38,UF,Acre,0.706,72.84,7.61,2013
39,UF,Amazonas,0.702,71.11,8.84,2013
40,UF,Roraima,0.738,70.44,9.63,2013
41,UF,Pará,0.671,71.44,7.64,2013
42,UF,Amapá,0.734,73.07,9.18,2013
43,UF,Tocantins,0.719,72.42,8.11,2013
44,UF,Maranhão,0.661,69.65,6.94,2013
45,UF,Piauí,0.679,70.38,6.87,2013
46,UF,Ceará,0.705,73.03,7.22,2013
47,UF,Rio Grande do Norte,0.71,74.86,7.46,2013
48,UF,Paraíba,0.67,72.15,6.71,2013
49,UF,Pernambuco,0.703,72.5,7.76,2013
50,UF,Alagoas,0.648,70.37,6.7,2013
51,UF,Sergipe,0.683,71.76,7.41,2013
52,UF,Bahia,0.68,72.66,7.34,2013
53,UF,Minas Gerais,0.758,76.4,8.23,2013
54,UF,Espírito Santo,0.765,77.17,8.72,2013
55,UF,Rio de Janeiro,0.768,75.23,9.8,2013
56,UF,São Paulo,0.818,77.15,9.91,2013
57,UF,Paraná,0.782,76.09,8.95,2013
58,UF,Santa Catarina,0.801,78.07,9.16,2013
59,UF,Rio Grande do Sul,0.773,76.91,9.12,2013
60,UF,Mato Grosso do Sul,0.743,74.65,8.54,2013
61,UF,Mato Grosso,0.758,73.43,8.58,2013
62,UF,Goiás,0.752,73.58,8.6,2013
63,UF,Distrito Federal,0.837,77.17,10.95,2013
64,UF,Rondônia,0.692,70.91,7.7,2014
65,UF,Acre,0.715,73.21,7.78,2014
66,UF,Amazonas,0.706,71.36,8.77,2014
67,UF,Roraima,0.744,70.77,9.59,2014
68,UF,Pará,0.684,71.64,7.99,2014
69,UF,Amapá,0.725,73.37,9.3,2014
70,UF,Tocantins,0.737,72.71,8.42,2014
71,UF,Maranhão,0.663,69.96,7.03,2014
72,UF,Piauí,0.686,70.57,7.11,2014
73,UF,Ceará,0.71,73.26,7.37,2014
74,UF,Rio Grande do Norte,0.723,75.13,7.71,2014
75,UF,Paraíba,0.69,72.48,7.29,2014
76,UF,Pernambuco,0.715,72.94,8.12,2014
77,UF,Alagoas,0.666,70.77,7.0,2014
78,UF,Sergipe,0.696,72.03,7.81,2014
79,UF,Bahia,0.694,72.91,7.53,2014
80,UF,Minas Gerais,0.77,76.69,8.6,2014
81,UF,Espírito Santo,0.772,77.54,9.02,2014
82,UF,Rio de Janeiro,0.78,75.56,9.95,2014
83,UF,São Paulo,0.825,77.47,10.02,2014
84,UF,Paraná,0.788,76.4,9.09,2014
85,UF,Santa Catarina,0.807,78.42,9.18,2014
86,UF,Rio Grande do Sul,0.779,77.21,9.28,2014
87,UF,Mato Grosso do Sul,0.745,74.94,8.64,2014
88,UF,Mato Grosso,0.762,73.69,8.68,2014
89,UF,Goiás,0.757,73.75,8.84,2014
90,UF,Distrito Federal,0.836,77.47,11.01,2014
91,UF,Rondônia,0.706,71.11,8.08,2015
92,UF,Acre,0.718,73.56,7.95,2015
93,UF,Amazonas,0.711,71.61,9.13,2015
94,UF,Roraima,0.748,71.1,9.67,2015
95,UF,Pará,0.689,71.84,7.95,2015
96,UF,Amapá,0.728,73.65,9.41,2015
97,UF,Tocantins,0.73,73.01,8.29,2015
98,UF,Maranhão,0.669,70.25,7.08,2015
99,UF,Piauí,0.689,70.76,7.28,2015
100,UF,Ceará,0.715,73.49,7.48,2015
101,UF,Rio Grande do Norte,0.733,75.38,8.18,2015
102,UF,Paraíba,0.703,72.79,7.48,2015
103,UF,Pernambuco,0.722,73.37,8.18,2015
104,UF,Alagoas,0.666,71.16,6.99,2015
105,UF,Sergipe,0.697,72.3,7.93,2015
106,UF,Bahia,0.701,73.16,7.93,2015
107,UF,Minas Gerais,0.774,76.96,8.76,2015
108,UF,Espírito Santo,0.776,77.89,9.07,2015
109,UF,Rio de Janeiro,0.785,75.88,10.11,2015
110,UF,São Paulo,0.823,77.78,10.13,2015
111,UF,Paraná,0.786,76.72,9.17,2015
112,UF,Santa Catarina,0.809,78.76,9.47,2015
113,UF,Rio Grande do Sul,0.787,77.49,9.56,2015
114,UF,Mato Grosso do Sul,0.74,75.22,8.5,2015
115,UF,Mato Grosso,0.77,73.95,8.74,2015
116,UF,Goiás,0.755,73.92,9.01,2015
117,UF,Distrito Federal,0.837,77.75,11.19,2015
118,UF,Rondônia,0.715,71.3,8.1,2016
119,UF,Acre,0.723,73.89,7.98,2016
120,UF,Amazonas,0.711,71.85,9.11,2016
121,UF,Roraima,0.752,71.41,9.75,2016
122,UF,Pará,0.687,72.03,8.1,2016
123,UF,Amapá,0.733,73.92,9.89,2016
124,UF,Tocantins,0.734,73.29,8.28,2016
125,UF,Maranhão,0.68,70.54,7.25,2016
126,UF,Piauí,0.685,70.94,7.34,2016
127,UF,Ceará,0.722,73.72,7.65,2016
128,UF,Rio Grande do Norte,0.732,75.62,8.26,2016
129,UF,Paraíba,0.704,73.09,7.63,2016
130,UF,Pernambuco,0.724,73.78,8.13,2016
131,UF,Alagoas,0.68,71.54,7.21,2016
132,UF,Sergipe,0.697,72.55,7.89,2016
133,UF,Bahia,0.705,73.4,7.75,2016
134,UF,Minas Gerais,0.776,77.23,8.82,2016
135,UF,Espírito Santo,0.779,78.22,9.16,2016
136,UF,Rio de Janeiro,0.789,76.18,10.18,2016
137,UF,São Paulo,0.835,78.07,10.39,2016
138,UF,Paraná,0.797,77.02,9.3,2016
139,UF,Santa Catarina,0.814,79.09,9.49,2016
140,UF,Rio Grande do Sul,0.789,77.77,9.58,2016
141,UF,Mato Grosso do Sul,0.758,75.49,9.09,2016
142,UF,Mato Grosso,0.769,74.2,8.64,2016
143,UF,Goiás,0.764,74.09,9.04,2016
144,UF,Distrito Federal,0.847,78.02,11.19,2016
145,UF,Rondônia,0.721,71.5,8.36,2017
146,UF,Acre,0.712,74.2,8.04,2017
147,UF,Amazonas,0.728,72.08,9.49,2017
148,UF,Roraima,0.746,71.71,9.97,2017
149,UF,Pará,0.694,72.22,8.33,2017
150,UF,Amapá,0.732,74.18,9.62,2017
151,UF,Tocantins,0.74,73.56,8.7,2017
152,UF,Maranhão,0.685,70.83,7.45,2017
153,UF,Piauí,0.694,71.12,7.55,2017
154,UF,Ceará,0.73,73.94,8.04,2017
155,UF,Rio Grande do Norte,0.728,75.87,8.25,2017
156,UF,Paraíba,0.717,73.39,7.8,2017
157,UF,Pernambuco,0.722,74.16,8.31,2017
158,UF,Alagoas,0.679,71.9,7.31,2017
159,UF,Sergipe,0.699,72.8,8.06,2017
160,UF,Bahia,0.71,73.64,8.01,2017
161,UF,Minas Gerais,0.784,77.49,9.04,2017
162,UF,Espírito Santo,0.78,78.53,9.36,2017
163,UF,Rio de Janeiro,0.791,76.47,10.31,2017
164,UF,São Paulo,0.831,78.35,10.37,2017
165,UF,Paraná,0.797,77.32,9.32,2017
166,UF,Santa Catarina,0.817,79.4,9.72,2017
167,UF,Rio Grande do Sul,0.793,78.04,9.6,2017
168,UF,Mato Grosso do Sul,0.762,75.74,9.21,2017
169,UF,Mato Grosso,0.77,74.44,8.99,2017
170,UF,Goiás,0.765,74.26,9.18,2017
171,UF,Distrito Federal,0.842,78.27,11.33,2017
172,UF,Rondônia,0.73,71.69,8.58,2018
173,UF,Acre,0.733,74.51,8.61,2018
174,UF,Amazonas,0.718,72.31,9.62,2018
175,UF,Roraima,0.76,72.01,10.08,2018
176,UF,Pará,0.707,72.41,8.6,2018
177,UF,Amapá,0.741,74.42,9.84,2018
178,UF,Tocantins,0.749,73.81,8.74,2018
179,UF,Maranhão,0.686,71.11,7.72,2018
180,UF,Piauí,0.699,71.3,7.66,2018
181,UF,Ceará,0.739,74.15,8.22,2018
182,UF,Rio Grande do Norte,0.739,76.08,8.57,2018
183,UF,Paraíba,0.711,73.69,7.69,2018
184,UF,Pernambuco,0.735,74.53,8.72,2018
185,UF,Alagoas,0.689,72.25,7.6,2018
186,UF,Sergipe,0.71,73.05,8.29,2018
187,UF,Bahia,0.71,73.87,8.12,2018
188,UF,Minas Gerais,0.784,77.73,9.07,2018
189,UF,Espírito Santo,0.788,78.83,9.53,2018
190,UF,Rio de Janeiro,0.805,76.76,10.68,2018
191,UF,São Paulo,0.837,78.63,10.52,2018
192,UF,Paraná,0.805,77.61,9.57,2018
193,UF,Santa Catarina,0.819,79.7,9.84,2018
194,UF,Rio Grande do Sul,0.797,78.3,9.76,2018
195,UF,Mato Grosso do Sul,0.77,76.0,9.32,2018
196,UF,Mato Grosso,0.778,74.68,9.25,2018
197,UF,Goiás,0.771,74.42,9.5,2018
198,UF,Distrito Federal,0.845,78.52,11.33,2018
199,UF,Rondônia,0.73,71.88,8.92,2019
200,UF,Acre,0.739,74.78,8.76,2019
201,UF,Amazonas,0.726,72.53,9.82,2019
202,UF,Roraima,0.749,72.29,10.21,2019
203,UF,Pará,0.704,72.59,8.66,2019
204,UF,Amapá,0.737,74.66,9.79,2019
205,UF,Tocantins,0.751,74.05,8.89,2019
206,UF,Maranhão,0.694,71.39,7.84,2019
207,UF,Piauí,0.706,71.47,7.64,2019
208,UF,Ceará,0.744,74.37,8.31,2019
209,UF,Rio Grande do Norte,0.742,76.29,8.68,2019
210,UF,Paraíba,0.713,73.96,7.92,2019
211,UF,Pernambuco,0.74,74.88,8.64,2019
212,UF,Alagoas,0.687,72.6,7.6,2019
213,UF,Sergipe,0.705,73.29,8.39,2019
214,UF,Bahia,0.718,74.09,8.38,2019
215,UF,Minas Gerais,0.793,77.97,9.17,2019
216,UF,Espírito Santo,0.793,79.12,9.66,2019
217,UF,Rio de Janeiro,0.809,77.04,10.76,2019
218,UF,São Paulo,0.845,78.87,10.58,2019
219,UF,Paraná,0.807,77.89,9.78,2019
220,UF,Santa Catarina,0.826,79.98,9.99,2019
221,UF,Rio Grande do Sul,0.801,78.55,9.9,2019
222,UF,Mato Grosso do Sul,0.777,76.24,9.7,2019
223,UF,Mato Grosso,0.779,74.91,9.45,2019
224,UF,Goiás,0.774,74.59,9.5,2019
225,UF,Distrito Federal,0.859,78.76,11.65,2019
226,UF,Rondônia,0.739,71.2,9.24,2020
227,UF,Acre,0.746,74.47,9.14,2020
228,UF,Amazonas,0.727,71.99,10.02,2020
229,UF,Roraima,0.739,72.0,10.47,2020
230,UF,Pará,0.719,72.02,8.99,2020
231,UF,Amapá,0.724,73.91,10.02,2020
232,UF,Tocantins,0.755,74.02,9.24,2020
233,UF,Maranhão,0.699,70.45,8.28,2020
234,UF,Piauí,0.708,71.06,7.94,2020
235,UF,Ceará,0.755,74.29,8.84,2020
236,UF,Rio Grande do Norte,0.75,76.28,9.1,2020
237,UF,Paraíba,0.714,73.93,8.29,2020
238,UF,Pernambuco,0.739,74.88,9.0,2020
239,UF,Alagoas,0.694,72.15,8.01,2020
240,UF,Sergipe,0.722,73.18,8.81,2020
241,UF,Bahia,0.724,73.66,8.72,2020
242,UF,Minas Gerais,0.789,77.7,9.37,2020
243,UF,Espírito Santo,0.792,78.68,9.94,2020
244,UF,Rio de Janeiro,0.785,73.24,10.93,2020
245,UF,São Paulo,0.823,75.63,10.8,2020
246,UF,Paraná,0.787,74.2,10.0,2020
247,UF,Santa Catarina,0.803,76.47,10.21,2020
248,UF,Rio Grande do Sul,0.78,74.88,10.08,2020
249,UF,Mato Grosso do Sul,0.76,72.34,9.89,2020
250,UF,Mato Grosso,0.756,71.16,9.85,2020
251,UF,Goiás,0.758,70.76,9.79,2020
252,UF,Distrito Federal,0.829,75.17,11.82,2020
253,UF,Rondônia,0.7,68.86,8.99,2021
254,UF,Acre,0.71,72.26,9.3,2021
255,UF,Amazonas,0.7,69.61,10.1,2021
256,UF,Roraima,0.699,69.71,10.47,2021
257,UF,Pará,0.69,69.62,9.15,2021
258,UF,Amapá,0.688,71.7,10.35,2021
259,UF,Tocantins,0.731,71.74,9.32,2021
260,UF,Maranhão,0.676,67.9,8.32,2021
261,UF,Piauí,0.69,68.57,8.09,2021
262,UF,Ceará,0.734,72.02,8.73,2021
