,Estado,Ano,Emissões_CO2e
0,Rondônia,1990,115564.09579607636
1,Acre,1990,35149.15223012636
2,Amazonas,1990,35754.777398120365
3,Roraima,1990,5085.069935294256
4,Pará,1990,224556.936510828
5,Amapá,1990,-629.3354838569727
6,Tocantins,1990,39182.239451782785
7,Maranhão,1990,87259.32220194346
8,Piauí,1990,9550.907891423112
9,Ceará,1990,4654.597786249342
10,Rio Grande do Norte,1990,1334.6471083415372
11,Paraíba,1990,1609.1579411358366
12,Pernambuco,1990,2736.021205968109
13,Alagoas,1990,568.6885447580892
14,Sergipe,1990,514.2051993458309
15,Bahia,1990,17043.913339290117
16,Minas Gerais,1990,20597.8290716942
17,Espírito Santo,1990,923.7331291722119
18,Rio de Janeiro,1990,2731.7151681796586
19,São Paulo,1990,1857.6627072815659
20,Paraná,1990,536.313304660057
21,Santa Catarina,1990,4047.4002058774918
22,Rio Grande do Sul,1990,7670.312479136337
23,Mato Grosso do Sul,1990,22502.961094352893
24,Mato Grosso,1990,231989.51273779146
25,Goiás,1990,34582.87985594026
26,Distrito Federal,1990,144.813158918753
28,Rondônia,1991,85520.72163531365
29,Acre,1991,23851.485394885603
30,Amazonas,1991,18333.821824201743
31,Roraima,1991,3118.771300448484
32,Pará,1991,166672.53638329878
33,Amapá,1991,-1980.206333269032
34,Tocantins,1991,34255.474645620496
35,Maranhão,1991,74233.66764344674
36,Piauí,1991,9533.976928083104
37,Ceará,1991,4634.954767633754
38,Rio Grande do Norte,1991,1324.4963436596904
39,Paraíba,1991,1602.4422316164944
40,Pernambuco,1991,2732.338455785685
41,Alagoas,1991,567.572637616926
42,Sergipe,1991,513.5187375683533
43,Bahia,1991,16826.419329933633
44,Minas Gerais,1991,20507.721424630647
45,Espírito Santo,1991,323.1159862294181
46,Rio de Janeiro,1991,2729.1855892197323
47,São Paulo,1991,969.0132893941174
48,Paraná,1991,-698.8452643951705
49,Santa Catarina,1991,3009.0321426356
50,Rio Grande do Sul,1991,7521.27738151028
51,Mato Grosso do Sul,1991,22397.20867421306
52,Mato Grosso,1991,192715.85988168058
53,Goiás,1991,34517.90675739772
54,Distrito Federal,1991,155.1233768422896
56,Rondônia,1992,110961.09807502804
57,Acre,1992,31297.859882776316
58,Amazonas,1992,19966.505355995916
59,Roraima,1992,-6235.135630258646
60,Pará,1992,207031.03064000397
61,Amapá,1992,-3438.9868544280935
62,Tocantins,1992,39595.26190984299
63,Maranhão,1992,84477.18873759385
64,Piauí,1992,9699.799098262465
65,Ceará,1992,4703.535039061574
66,Rio Grande do Norte,1992,1343.5934222217777
67,Paraíba,1992,1619.2457466717362
68,Pernambuco,1992,2770.974192411117
69,Alagoas,1992,575.6139602109467
70,Sergipe,1992,520.7088298970219
71,Bahia,1992,16825.01064078457
72,Minas Gerais,1992,20911.91788545532
73,Espírito Santo,1992,114.43282445095394
74,Rio de Janeiro,1992,2721.3481005249428
75,São Paulo,1992,1371.4051028829301
76,Paraná,1992,-736.2345776796847
77,Santa Catarina,1992,3156.451725024941
78,Rio Grande do Sul,1992,7544.35033809878
79,Mato Grosso do Sul,1992,22770.61292530967
80,Mato Grosso,1992,223665.5044663038
81,Goiás,1992,35196.63654956458
82,Distrito Federal,1992,169.36447529986194
84,Rondônia,1993,121666.69226295184
85,Acre,1993,34511.967874663984
86,Amazonas,1993,4866.225960387757
87,Roraima,1993,-5487.52646223469
88,Pará,1993,226250.0930454021
89,Amapá,1993,-3343.594344673729
90,Tocantins,1993,41238.56794276236
91,Maranhão,1993,88719.14499397817
92,Piauí,1993,9643.630855308766
93,Ceará,1993,4682.596154260541
94,Rio Grande do Norte,1993,1337.1246273690654
95,Paraíba,1993,1607.9272810489952
96,Pernambuco,1993,2757.884651001415
97,Alagoas,1993,570.851499324551
98,Sergipe,1993,517.3164373956896
99,Bahia,1993,16704.398247979203
100,Minas Gerais,1993,20843.845231730123
101,Espírito Santo,1993,335.7883828087344
102,Rio de Janeiro,1993,2759.4796198866175
103,São Paulo,1993,1649.7100618652066
104,Paraná,1993,-1500.6984009793114
105,Santa Catarina,1993,2811.745124697116
106,Rio Grande do Sul,1993,6995.348162604863
107,Mato Grosso do Sul,1993,22687.394116691987
108,Mato Grosso,1993,237633.41903580868
109,Goiás,1993,34966.88875060049
110,Distrito Federal,1993,162.75907504585012
112,Rondônia,1994,120593.66250029749
113,Acre,1994,33980.702208645744
114,Amazonas,1994,265.008063379983
115,Roraima,1994,-5569.828598126345
