,Territorialidades,Ano,Expect_est
0,Acre,1991,6.56
1,Alagoas,1991,6.62
2,Amapá,1991,7.81
3,Amazonas,1991,6.52
4,Bahia,1991,5.75
5,Ceará,1991,6.27
6,Distrito Federal,1991,9.48
7,Espírito Santo,1991,9.3
8,Goiás,1991,8.3
9,Maranhão,1991,6.29
10,Mato Grosso do Sul,1991,8.56
11,Mato Grosso,1991,8.16
12,Minas Gerais,1991,8.36
13,Paraíba,1991,6.21
14,Paraná,1991,9.68
15,Pará,1991,6.48
16,Pernambuco,1991,7.67
17,Piauí,1991,5.89
18,Rio de Janeiro,1991,8.65
19,Rio Grande do Norte,1991,7.51
20,Rio Grande do Sul,1991,10.25
21,Rondônia,1991,7.55
22,Roraima,1991,7.14
23,Santa Catarina,1991,9.93
24,São Paulo,1991,9.68
25,Sergipe,1991,6.45
26,Tocantins,1991,6.36
29,Acre,2000,6.77
30,Alagoas,2000,6.54
31,Amapá,2000,8.69
32,Amazonas,2000,6.68
33,Bahia,2000,7.28
34,Ceará,2000,8.22
35,Distrito Federal,2000,10.07
36,Espírito Santo,2000,9.51
37,Goiás,2000,9.04
38,Maranhão,2000,6.87
39,Mato Grosso do Sul,2000,9.52
40,Mato Grosso,2000,9.02
41,Minas Gerais,2000,9.16
42,Paraíba,2000,7.33
43,Paraná,2000,10.11
44,Pará,2000,6.8
45,Pernambuco,2000,7.7
46,Piauí,2000,6.68
47,Rio de Janeiro,2000,8.96
48,Rio Grande do Norte,2000,8.56
49,Rio Grande do Sul,2000,10.25
50,Rondônia,2000,7.85
51,Roraima,2000,8.95
52,Santa Catarina,2000,10.13
53,São Paulo,2000,10.23
54,Sergipe,2000,7.21
55,Tocantins,2000,7.94
58,Acre,2010,8.69
59,Alagoas,2010,9.07
60,Amapá,2010,9.44
61,Amazonas,2010,8.54
62,Bahia,2010,8.63
63,Ceará,2010,9.82
64,Distrito Federal,2010,9.87
65,Espírito Santo,2010,9.36
66,Goiás,2010,9.72
67,Maranhão,2010,9.26
68,Mato Grosso do Sul,2010,10.08
69,Mato Grosso,2010,9.29
70,Minas Gerais,2010,9.38
71,Paraíba,2010,9.24
72,Paraná,2010,10.43
73,Pará,2010,8.49
74,Pernambuco,2010,9.13
75,Piauí,2010,9.23
76,Rio de Janeiro,2010,9.17
77,Rio Grande do Norte,2010,9.54
78,Rio Grande do Sul,2010,10.0
79,Rondônia,2010,9.2
80,Roraima,2010,8.69
81,Santa Catarina,2010,10.24
82,São Paulo,2010,10.33
83,Sergipe,2010,9.01
84,Tocantins,2010,9.8
