time,Acre,Alagoas,Amapá,Amazonas,Bahia,Ceará,Distrito Federal,Espírito Santo,Goiás,Maranhão,Mato Grosso,Mato Grosso do Sul,Minas Gerais,Paraná,Paraíba,Pará,Pernambuco,Piauí,Rio Grande do Norte,Rio Grande do Sul,Rio de Janeiro,Rondônia,Roraima,Santa Catarina,Sergipe,São Paulo,Tocantins
2012,0.566,0.503,0.528,0.589,0.563,0.545,0.601,0.489,0.474,0.498,0.487,0.475,0.5,0.483,0.516,0.533,0.574,0.495,0.508,0.495,0.528,0.487,0.549,0.435,0.569,0.511,0.507
2013,0.553,0.51,0.513,0.581,0.535,0.537,0.579,0.499,0.465,0.494,0.456,0.472,0.491,0.473,0.513,0.531,0.566,0.535,0.505,0.477,0.517,0.475,0.555,0.428,0.572,0.51,0.515
2014,0.529,0.527,0.522,0.562,0.528,0.522,0.573,0.501,0.458,0.475,0.459,0.472,0.49,0.464,0.524,0.507,0.566,0.516,0.51,0.479,0.511,0.443,0.523,0.408,0.543,0.507,0.497
2015,0.549,0.525,0.547,0.553,0.522,0.528,0.58,0.505,0.456,0.495,0.443,0.449,0.485,0.453,0.531,0.514,0.567,0.52,0.518,0.466,0.503,0.462,0.537,0.414,0.539,0.513,0.507
2016,0.564,0.523,0.554,0.558,0.539,0.543,0.578,0.51,0.467,0.517,0.453,0.47,0.491,0.476,0.527,0.51,0.567,0.528,0.543,0.473,0.525,0.465,0.537,0.421,0.567,0.524,0.489
2017,0.545,0.525,0.589,0.591,0.59,0.547,0.593,0.506,0.477,0.526,0.463,0.464,0.493,0.481,0.548,0.506,0.551,0.529,0.523,0.481,0.519,0.447,0.526,0.414,0.551,0.526,0.495
2018,0.557,0.55,0.546,0.544,0.55,0.547,0.57,0.509,0.47,0.528,0.465,0.49,0.492,0.492,0.549,0.562,0.534,0.53,0.54,0.486,0.543,0.496,0.566,0.417,0.577,0.538,0.529
2019,0.559,0.527,0.513,0.566,0.557,0.562,0.553,0.52,0.459,0.531,0.454,0.483,0.487,0.477,0.561,0.528,0.574,0.537,0.554,0.482,0.552,0.472,0.579,0.421,0.581,0.526,0.53
2020,0.515,0.51,0.5,0.533,0.537,0.544,0.548,0.484,0.445,0.482,0.462,0.469,0.461,0.462,0.512,0.48,0.536,0.473,0.512,0.476,0.548,0.438,0.54,0.412,0.524,0.522,0.485
2021,0.539,0.526,0.529,0.541,0.546,0.549,0.566,0.508,0.467,0.53,0.461,0.496,0.487,0.475,0.562,0.529,0.579,0.516,0.587,0.468,0.565,0.458,0.596,0.424,0.568,0.533,0.513
