,time,12,27,13,16,29,23,53,32,52,21,31,50,51,15,25,26,22,41,33,24,11,14,43,42,28,35,17
1,2012,41.4,37.6,39.8,42.6,42.1,40.5,46.9,42.6,41.6,39.2,42.5,41.7,38.7,39.2,40.2,41.4,41.2,43.2,43.9,39.6,39.4,42.4,44.5,43.8,41.1,43.8,39.0
2,2013,40.6,38.2,39.9,41.1,41.9,40.7,46.8,42.3,41.3,39.1,42.7,40.7,39.6,39.1,40.4,41.0,41.1,43.1,43.7,39.9,37.7,42.3,44.5,43.6,42.4,44.2,39.1
3,2014,39.1,39.1,39.6,41.5,42.3,41.0,46.4,42.3,41.6,39.1,43.0,42.1,39.4,39.0,39.7,41.2,41.7,43.2,43.4,41.0,36.9,41.8,44.5,43.3,42.0,44.3,39.0
4,2015,39.6,39.8,39.1,40.6,43.0,41.2,46.0,42.6,42.2,40.0,43.6,42.6,39.6,39.9,40.4,41.3,41.3,42.8,43.7,42.4,37.1,42.6,44.8,43.9,41.0,44.6,40.0
5,2016,40.0,40.3,40.4,43.0,43.1,41.4,46.8,43.1,42.0,39.5,43.6,43.7,40.2,39.8,41.1,41.4,40.6,43.5,43.6,42.0,39.0,41.0,44.9,43.8,41.7,44.7,39.6
6,2017,40.9,41.2,41.4,43.0,43.3,42.2,46.9,43.4,43.3,40.2,44.0,43.0,40.2,40.4,41.1,41.9,41.9,43.4,43.9,41.5,39.1,42.0,45.2,44.2,42.6,45.4,40.3
7,2018,40.6,40.9,41.2,42.2,43.0,42.3,47.0,43.8,43.3,40.9,44.2,43.1,40.7,39.8,41.5,42.5,41.5,43.4,44.5,42.2,39.5,42.5,44.8,44.1,43.2,45.9,40.9
8,2019,41.8,41.7,41.4,43.3,43.8,43.2,47.6,44.4,44.2,42.0,44.3,43.9,41.7,39.8,41.6,42.8,42.2,43.8,45.0,42.2,39.9,41.9,45.3,44.7,43.8,45.7,40.7
9,2020,41.7,41.3,42.0,41.9,43.5,43.1,46.4,44.0,44.0,41.1,44.2,43.7,42.0,39.6,42.2,41.7,42.9,43.6,44.8,42.5,40.3,41.2,45.1,44.5,42.6,45.7,41.9
10,2022,40.6,42.6,42.2,41.9,43.2,42.5,47.6,44.0,43.1,42.4,42.9,43.4,40.7,40.3,40.8,43.1,42.5,43.8,45.5,42.0,40.2,41.3,44.6,44.5,41.8,46.1,41.9
11,2023,40.7,42.4,41.2,42.4,43.0,41.8,47.2,43.6,43.0,42.0,43.0,43.6,40.8,40.7,42.0,42.2,41.5,43.2,45.3,41.8,38.8,40.7,45.3,44.5,43.6,45.6,42.0
12,2024,39.3,41.7,40.5,42.4,43.8,41.8,47.0,43.5,42.8,41.6,43.1,44.3,42.1,40.5,41.6,42.7,41.0,43.2,46.0,42.0,39.2,41.9,45.3,44.5,43.6,44.9,41.2
