"Código","Unidade Territorial","Referência","Nº de mulheres beneficiárias do Programa Fomento Rural","Nº de homens beneficiários do Programa Fomento Rural","Nº de beneficiários do Programa Fomento Rural sem informação de sexo","Nº total de beneficiários do Programa Fomento Rural"
"11","RONDÔNIA","01/2012","0","0","0","0"
"12","ACRE","01/2012","0","0","0","0"
"13","AMAZONAS","01/2012","0","0","0","0"
"14","RORAIMA","01/2012","0","0","0","0"
"15","PARÁ","01/2012","0","0","0","0"
"16","AMAPÁ","01/2012","0","0","0","0"
"17","TOCANTINS","01/2012","0","0","0","0"
"21","MARANHÃO","01/2012","0","0","0","0"
"22","PIAUÍ","01/2012","0","0","0","0"
"23","CEARÁ","01/2012","0","0","0","0"
"24","RIO GRANDE DO NORTE","01/2012","0","0","0","0"
"25","PARAÍBA","01/2012","0","0","0","0"
"26","PERNAMBUCO","01/2012","2","0","0","2"
"27","ALAGOAS","01/2012","0","0","0","0"
"28","SERGIPE","01/2012","0","0","0","0"
"29","BAHIA","01/2012","150","66","25","241"
"31","MINAS GERAIS","01/2012","139","75","25","239"
"32","ESPÍRITO SANTO","01/2012","0","0","0","0"
"33","RIO DE JANEIRO","01/2012","0","0","0","0"
"35","SÃO PAULO","01/2012","0","0","0","0"
"41","PARANÁ","01/2012","0","0","0","0"
"42","SANTA CATARINA","01/2012","0","0","0","0"
"43","RIO GRANDE DO SUL","01/2012","0","0","0","0"
"50","MATO GROSSO DO SUL","01/2012","0","0","0","0"
"51","MATO GROSSO","01/2012","0","0","0","0"
"52","GOIÁS","01/2012","0","0","0","0"
"53","DISTRITO FEDERAL","01/2012","0","0","0","0"
"11","RONDÔNIA","02/2012","0","0","0","0"
"12","ACRE","02/2012","0","0","0","0"
"13","AMAZONAS","02/2012","0","0","0","0"
"14","RORAIMA","02/2012","0","0","0","0"
"15","PARÁ","02/2012","0","0","0","0"
"16","AMAPÁ","02/2012","0","0","0","0"
"17","TOCANTINS","02/2012","0","0","0","0"
"21","MARANHÃO","02/2012","0","0","0","0"
"22","PIAUÍ","02/2012","0","0","0","0"
"23","CEARÁ","02/2012","1","0","0","1"
"24","RIO GRANDE DO NORTE","02/2012","0","0","0","0"
"25","PARAÍBA","02/2012","1","0","0","1"
"26","PERNAMBUCO","02/2012","523","200","78","801"
"27","ALAGOAS","02/2012","0","0","0","0"
"28","SERGIPE","02/2012","0","0","0","0"
"29","BAHIA","02/2012","121","113","15","249"
"31","MINAS GERAIS","02/2012","14","29","9","52"
"32","ESPÍRITO SANTO","02/2012","0","0","0","0"
"33","RIO DE JANEIRO","02/2012","0","0","0","0"
"35","SÃO PAULO","02/2012","0","0","0","0"
"41","PARANÁ","02/2012","0","0","0","0"
"42","SANTA CATARINA","02/2012","0","0","0","0"
"43","RIO GRANDE DO SUL","02/2012","0","0","0","0"
"50","MATO GROSSO DO SUL","02/2012","0","0","0","0"
"51","MATO GROSSO","02/2012","0","0","0","0"
"52","GOIÁS","02/2012","0","0","0","0"
"53","DISTRITO FEDERAL","02/2012","0","0","0","0"
"11","RONDÔNIA","03/2012","0","0","0","0"
"12","ACRE","03/2012","0","0","0","0"
"13","AMAZONAS","03/2012","0","0","0","0"
"14","RORAIMA","03/2012","0","0","0","0"
"15","PARÁ","03/2012","0","0","0","0"
"16","AMAPÁ","03/2012","0","0","0","0"
"17","TOCANTINS","03/2012","0","0","0","0"
"21","MARANHÃO","03/2012","0","0","0","0"
"22","PIAUÍ","03/2012","0","0","0","0"
"23","CEARÁ","03/2012","0","0","0","0"
"24","RIO GRANDE DO NORTE","03/2012","0","0","0","0"
"25","PARAÍBA","03/2012","0","0","0","0"
"26","PERNAMBUCO","03/2012","144","113","25","282"
"27","ALAGOAS","03/2012","0","0","0","0"
"28","SERGIPE","03/2012","0","0","0","0"
"29","BAHIA","03/2012","118","84","35","237"
"31","MINAS GERAIS","03/2012","10","12","1","23"
"32","ESPÍRITO SANTO","03/2012","0","0","0","0"
"33","RIO DE JANEIRO","03/2012","0","0","0","0"
"35","SÃO PAULO","03/2012","0","0","0","0"
"41","PARANÁ","03/2012","0","0","0","0"
"42","SANTA CATARINA","03/2012","0","0","0","0"
"43","RIO GRANDE DO SUL","03/2012","0","0","0","0"
"50","MATO GROSSO DO SUL","03/2012","0","0","0","0"
"51","MATO GROSSO","03/2012","0","0","0","0"
"52","GOIÁS","03/2012","0","0","0","0"
"53","DISTRITO FEDERAL","03/2012","0","0","0","0"
"11","RONDÔNIA","04/2012","0","0","0","0"
"12","ACRE","04/2012","0","0","0","0"
"13","AMAZONAS","04/2012","0","0","0","0"
"14","RORAIMA","04/2012","0","0","0","0"
"15","PARÁ","04/2012","0","0","0","0"
"16","AMAPÁ","04/2012","0","0","0","0"
"17","TOCANTINS","04/2012","0","0","0","0"
"21","MARANHÃO","04/2012","0","0","0","0"
"22","PIAUÍ","04/2012","0","0","1","1"
"23","CEARÁ","04/2012","0","0","0","0"
"24","RIO GRANDE DO NORTE","04/2012","0","0","0","0"
"25","PARAÍBA","04/2012","0","0","0","0"
"26","PERNAMBUCO","04/2012","365","244","72","681"
"27","ALAGOAS","04/2012","0","0","0","0"
"28","SERGIPE","04/2012","0","0","0","0"
"29","BAHIA","04/2012","468","172","56","696"
"31","MINAS GERAIS","04/2012","50","29","20","99"
"32","ESPÍRITO SANTO","04/2012","0","0","0","0"
"33","RIO DE JANEIRO","04/2012","0","0","0","0"
"35","SÃO PAULO","04/2012","0","0","0","0"
"41","PARANÁ","04/2012","0","0","0","0"
"42","SANTA CATARINA","04/2012","0","0","0","0"
"43","RIO GRANDE DO SUL","04/2012","0","0","0","0"
"50","MATO GROSSO DO SUL","04/2012","0","0","0","0"
"51","MATO GROSSO","04/2012","0","0","0","0"
"52","GOIÁS","04/2012","0","0","0","0"
"53","DISTRITO FEDERAL","04/2012","0","0","0","0"
"11","RONDÔNIA","05/2012","0","0","0","0"
"12","ACRE","05/2012","0","0","0","0"
"13","AMAZONAS","05/2012","0","0","0","0"
"14","RORAIMA","05/2012","0","0","0","0"
"15","PARÁ","05/2012","0","0","0","0"
"16","AMAPÁ","05/2012","0","0","0","0"
"17","TOCANTINS","05/2012","0","0","0","0"
"21","MARANHÃO","05/2012","0","0","0","0"
"22","PIAUÍ","05/2012","477","160","54","691"
"23","CEARÁ","05/2012","0","0","0","0"
"24","RIO GRANDE DO NORTE","05/2012","0","0","0","0"
"25","PARAÍBA","05/2012","0","0","0","0"
"26","PERNAMBUCO","05/2012","134","52","16","202"
"27","ALAGOAS","05/2012","0","0","0","0"
"28","SERGIPE","05/2012","0","0","0","0"
"29","BAHIA","05/2012","1018","633","147","1798"
"31","MINAS GERAIS","05/2012","102","87","23","212"
"32","ESPÍRITO SANTO","05/2012","0","0","0","0"
"33","RIO DE JANEIRO","05/2012","0","0","0","0"
"35","SÃO PAULO","05/2012","0","0","0","0"
"41","PARANÁ","05/2012","0","0","0","0"
"42","SANTA CATARINA","05/2012","0","0","0","0"
"43","RIO GRANDE DO SUL","05/2012","0","0","0","0"
"50","MATO GROSSO DO SUL","05/2012","0","0","0","0"
"51","MATO GROSSO","05/2012","0","0","0","0"
"52","GOIÁS","05/2012","0","0","0","0"
"53","DISTRITO FEDERAL","05/2012","0","0","0","0"
"11","RONDÔNIA","06/2012","0","0","0","0"
"12","ACRE","06/2012","0","0","0","0"
"13","AMAZONAS","06/2012","0","0","0","0"
"14","RORAIMA","06/2012","0","0","0","0"
"15","PARÁ","06/2012","0","0","0","0"
"16","AMAPÁ","06/2012","0","0","0","0"
"17","TOCANTINS","06/2012","0","0","0","0"
"21","MARANHÃO","06/2012","0","0","0","0"
"22","PIAUÍ","06/2012","664","265","69","998"
"23","CEARÁ","06/2012","0","0","1","1"
"24","RIO GRANDE DO NORTE","06/2012","0","0","0","0"
"25","PARAÍBA","06/2012","0","0","0","0"
"26","PERNAMBUCO","06/2012","972","639","211","1822"
"27","ALAGOAS","06/2012","2","2","0","4"
"28","SERGIPE","06/2012","0","0","0","0"
"29","BAHIA","06/2012","743","422","124","1289"
"31","MINAS GERAIS","06/2012","129","54","32","215"
"32","ESPÍRITO SANTO","06/2012","0","0","0","0"
"33","RIO DE JANEIRO","06/2012","0","0","0","0"
"35","SÃO PAULO","06/2012","0","0","0","0"
"41","PARANÁ","06/2012","0","0","0","0"
"42","SANTA CATARINA","06/2012","0","0","0","0"
"43","RIO GRANDE DO SUL","06/2012","0","0","0","0"
