PIB Estadual - preços de mercado
Sigla;Código;Estado;2017;2018;2019;2020;2021;
AC;12;Acre;14272941;15331123;15630017;16476371;21374440,009;
AL;27;Alagoas;52851067;54413047;58963729;63202349;76265620,286;
AM;13;Amazonas;93240191;100109235;108181091;116019139;131531037,762;
AP;16;Amapá;15481908;16795207;17496661;18469115;20099850,517;
BA;29;Bahia;268724090;286239541;293240504;305320813;352617851,769;
CE;23;Ceará;147921534;155903825;163575327;166914536;194884801,547;
DF;53;Distrito Federal;244722249;254817205;273613711;265847334;286943782,027;
ES;32;Espírito Santo;113399937;137020055;137345595;138445922;186336504,77;
GO;52;Goiás;191948301;195681724;208672492;224126112;269627873,9;
MA;21;Maranhão;89542757;98179496;97339938;106915962;124980719,954;
MG;31;Minas Gerais;576375545;614875820;651872684;682786116;857593213,654;
MS;50;Mato Grosso do Sul;96396434;106969142;106943246;122627726;142203766,433;
MT;51;Mato Grosso;126845898;137442853;142122028;178649564;233390202,645;
PA;15;Pará;155232404;161349602;178376984;215935604;262904979,116;
PB;25;Paraíba;62396776;64373595;67986074;70292034;77470331,033;
PE;26;Pernambuco;181609501;186351975;197853378;193307317;220813522,472;
PI;22;Piauí;45365541;50378418;52780785;56391257;64028302,817;
PR;41;Paraná;421497870;440029403;466377036;487930594;549973061,873;
RJ;33;Rio de Janeiro;671605668;758859047;779927917;753823711;949300770,395;
RN;24;Rio Grande do Norte;64305995;66969562;71336780;71577107;80180733,093;
RO;11;Rondônia;43516147;44913978;47091336;51598741;58170095,726;
RR;14;Roraima;12104709;13369988;14292227;16024276;18202579,49;
RS;43;Rio Grande do Sul;423270047;457293958;482464177;470941846;581283677,312;
SC;42;Santa Catarina;277270237;298227090;323263857;349275016;428570888,752;
SE;28;Sergipe;40711486;42017981;44689483;45409657;51861396,886;
SP;35;São Paulo;2120761635;2210561949;2348338000;2377638980;2719751231,375;
TO;17;Tocantins;34108132;35666183;39355941;43649803;51780764,389;
