,Unidade Territorial,Referência,Percentual fam unip pbf
0,RONDÔNIA,2012-12-01,2.08
1,ACRE,2012-12-01,0.65
2,AMAZONAS,2012-12-01,1.64
3,RORAIMA,2012-12-01,3.6
4,PARÁ,2012-12-01,1.65
5,AMAPÁ,2012-12-01,1.05
6,TOCANTINS,2012-12-01,3.3
7,MARANHÃO,2012-12-01,3.53
8,PIAUÍ,2012-12-01,5.66
9,CEARÁ,2012-12-01,4.21
10,RIO GRANDE DO NORTE,2012-12-01,5.16
11,PARAÍBA,2012-12-01,6.04
12,PERNAMBUCO,2012-12-01,8.41
13,ALAGOAS,2012-12-01,5.65
14,SERGIPE,2012-12-01,7.0
15,BAHIA,2012-12-01,6.25
16,MINAS GERAIS,2012-12-01,3.78
17,ESPÍRITO SANTO,2012-12-01,3.3
18,RIO DE JANEIRO,2012-12-01,4.9
19,SÃO PAULO,2012-12-01,4.04
20,PARANÁ,2012-12-01,3.56
21,SANTA CATARINA,2012-12-01,2.74
22,RIO GRANDE DO SUL,2012-12-01,4.73
23,MATO GROSSO DO SUL,2012-12-01,3.72
24,MATO GROSSO,2012-12-01,3.04
25,GOIÁS,2012-12-01,2.61
26,DISTRITO FEDERAL,2012-12-01,3.45
27,RONDÔNIA,2013-12-01,2.94
28,ACRE,2013-12-01,1.33
29,AMAZONAS,2013-12-01,2.24
30,RORAIMA,2013-12-01,4.44
31,PARÁ,2013-12-01,2.5
32,AMAPÁ,2013-12-01,1.37
33,TOCANTINS,2013-12-01,3.99
34,MARANHÃO,2013-12-01,4.69
35,PIAUÍ,2013-12-01,6.55
36,CEARÁ,2013-12-01,5.07
37,RIO GRANDE DO NORTE,2013-12-01,5.87
38,PARAÍBA,2013-12-01,7.18
39,PERNAMBUCO,2013-12-01,9.65
40,ALAGOAS,2013-12-01,6.78
41,SERGIPE,2013-12-01,8.3
42,BAHIA,2013-12-01,7.52
43,MINAS GERAIS,2013-12-01,4.79
44,ESPÍRITO SANTO,2013-12-01,4.52
45,RIO DE JANEIRO,2013-12-01,6.7
46,SÃO PAULO,2013-12-01,6.17
47,PARANÁ,2013-12-01,4.72
48,SANTA CATARINA,2013-12-01,4.07
49,RIO GRANDE DO SUL,2013-12-01,6.07
50,MATO GROSSO DO SUL,2013-12-01,5.37
51,MATO GROSSO,2013-12-01,4.19
52,GOIÁS,2013-12-01,3.25
53,DISTRITO FEDERAL,2013-12-01,4.39
54,RONDÔNIA,2014-12-01,3.56
55,ACRE,2014-12-01,1.51
56,AMAZONAS,2014-12-01,2.67
57,RORAIMA,2014-12-01,5.44
58,PARÁ,2014-12-01,3.25
59,AMAPÁ,2014-12-01,1.84
60,TOCANTINS,2014-12-01,4.58
61,MARANHÃO,2014-12-01,5.92
62,PIAUÍ,2014-12-01,7.93
63,CEARÁ,2014-12-01,5.9
64,RIO GRANDE DO NORTE,2014-12-01,6.73
65,PARAÍBA,2014-12-01,8.32
66,PERNAMBUCO,2014-12-01,10.73
67,ALAGOAS,2014-12-01,7.57
68,SERGIPE,2014-12-01,9.53
69,BAHIA,2014-12-01,8.85
70,MINAS GERAIS,2014-12-01,5.47
71,ESPÍRITO SANTO,2014-12-01,5.25
72,RIO DE JANEIRO,2014-12-01,7.63
73,SÃO PAULO,2014-12-01,7.72
74,PARANÁ,2014-12-01,5.24
75,SANTA CATARINA,2014-12-01,4.6
76,RIO GRANDE DO SUL,2014-12-01,6.96
77,MATO GROSSO DO SUL,2014-12-01,6.02
78,MATO GROSSO,2014-12-01,4.96
79,GOIÁS,2014-12-01,3.83
80,DISTRITO FEDERAL,2014-12-01,4.46
81,RONDÔNIA,2015-12-01,3.78
82,ACRE,2015-12-01,2.12
83,AMAZONAS,2015-12-01,3.13
84,RORAIMA,2015-12-01,7.19
85,PARÁ,2015-12-01,4.26
86,AMAPÁ,2015-12-01,2.08
87,TOCANTINS,2015-12-01,5.3
88,MARANHÃO,2015-12-01,7.03
89,PIAUÍ,2015-12-01,9.52
90,CEARÁ,2015-12-01,7.14
91,RIO GRANDE DO NORTE,2015-12-01,7.69
92,PARAÍBA,2015-12-01,9.91
93,PERNAMBUCO,2015-12-01,12.31
94,ALAGOAS,2015-12-01,8.7
95,SERGIPE,2015-12-01,11.0
96,BAHIA,2015-12-01,10.55
97,MINAS GERAIS,2015-12-01,6.7
98,ESPÍRITO SANTO,2015-12-01,6.63
99,RIO DE JANEIRO,2015-12-01,9.27
100,SÃO PAULO,2015-12-01,9.41
101,PARANÁ,2015-12-01,6.73
102,SANTA CATARINA,2015-12-01,5.99
103,RIO GRANDE DO SUL,2015-12-01,8.17
104,MATO GROSSO DO SUL,2015-12-01,6.92
105,MATO GROSSO,2015-12-01,5.54
106,GOIÁS,2015-12-01,4.67
107,DISTRITO FEDERAL,2015-12-01,5.87
108,RONDÔNIA,2016-12-01,3.16
109,ACRE,2016-12-01,2.18
110,AMAZONAS,2016-12-01,3.28
111,RORAIMA,2016-12-01,7.12
112,PARÁ,2016-12-01,4.67
113,AMAPÁ,2016-12-01,2.13
114,TOCANTINS,2016-12-01,5.61
115,MARANHÃO,2016-12-01,7.28
116,PIAUÍ,2016-12-01,10.36
117,CEARÁ,2016-12-01,7.71
118,RIO GRANDE DO NORTE,2016-12-01,8.22
119,PARAÍBA,2016-12-01,11.0
120,PERNAMBUCO,2016-12-01,13.21
121,ALAGOAS,2016-12-01,9.2
122,SERGIPE,2016-12-01,12.3
123,BAHIA,2016-12-01,11.36
124,MINAS GERAIS,2016-12-01,7.51
125,ESPÍRITO SANTO,2016-12-01,6.86
126,RIO DE JANEIRO,2016-12-01,9.62
127,SÃO PAULO,2016-12-01,10.39
128,PARANÁ,2016-12-01,7.66
129,SANTA CATARINA,2016-12-01,6.56
130,RIO GRANDE DO SUL,2016-12-01,8.16
131,MATO GROSSO DO SUL,2016-12-01,6.75
132,MATO GROSSO,2016-12-01,5.54
133,GOIÁS,2016-12-01,5.16
134,DISTRITO FEDERAL,2016-12-01,7.09
135,RONDÔNIA,2017-04-01,3.14
136,ACRE,2017-04-01,2.09
137,AMAZONAS,2017-04-01,3.21
138,RORAIMA,2017-04-01,7.12
139,PARÁ,2017-04-01,4.63
140,AMAPÁ,2017-04-01,2.07
141,TOCANTINS,2017-04-01,5.55
142,MARANHÃO,2017-04-01,7.11
143,PIAUÍ,2017-04-01,10.22
144,CEARÁ,2017-04-01,7.74
145,RIO GRANDE DO NORTE,2017-04-01,8.23
146,PARAÍBA,2017-04-01,10.99
147,PERNAMBUCO,2017-04-01,13.22
148,ALAGOAS,2017-04-01,9.28
149,SERGIPE,2017-04-01,12.28
150,BAHIA,2017-04-01,11.34
151,MINAS GERAIS,2017-04-01,7.71
152,ESPÍRITO SANTO,2017-04-01,7.14
153,RIO DE JANEIRO,2017-04-01,9.97
154,SÃO PAULO,2017-04-01,10.7
155,PARANÁ,2017-04-01,7.92
156,SANTA CATARINA,2017-04-01,6.94
157,RIO GRANDE DO SUL,2017-04-01,8.28
158,MATO GROSSO DO SUL,2017-04-01,6.74
159,MATO GROSSO,2017-04-01,5.63
160,GOIÁS,2017-04-01,5.29
161,DISTRITO FEDERAL,2017-04-01,7.68
162,RONDÔNIA,2017-05-01,3.18
163,ACRE,2017-05-01,2.09
164,AMAZONAS,2017-05-01,3.2
165,RORAIMA,2017-05-01,7.07
166,PARÁ,2017-05-01,4.63
167,AMAPÁ,2017-05-01,2.07
168,TOCANTINS,2017-05-01,5.57
169,MARANHÃO,2017-05-01,7.09
170,PIAUÍ,2017-05-01,10.2
171,CEARÁ,2017-05-01,7.75
172,RIO GRANDE DO NORTE,2017-05-01,8.24
173,PARAÍBA,2017-05-01,10.99
174,PERNAMBUCO,2017-05-01,13.21
175,ALAGOAS,2017-05-01,9.32
176,SERGIPE,2017-05-01,12.27
177,BAHIA,2017-05-01,11.33
178,MINAS GERAIS,2017-05-01,7.81
179,ESPÍRITO SANTO,2017-05-01,7.31
180,RIO DE JANEIRO,2017-05-01,10.27
181,SÃO PAULO,2017-05-01,10.75
182,PARANÁ,2017-05-01,8.1
183,SANTA CATARINA,2017-05-01,7.16
184,RIO GRANDE DO SUL,2017-05-01,8.44
185,MATO GROSSO DO SUL,2017-05-01,6.77
186,MATO GROSSO,2017-05-01,5.67
187,GOIÁS,2017-05-01,5.33
188,DISTRITO FEDERAL,2017-05-01,7.63
189,RONDÔNIA,2017-06-01,3.36
190,ACRE,2017-06-01,2.36
191,AMAZONAS,2017-06-01,3.25
192,RORAIMA,2017-06-01,7.29
193,PARÁ,2017-06-01,4.72
194,AMAPÁ,2017-06-01,2.06
195,TOCANTINS,2017-06-01,5.8
196,MARANHÃO,2017-06-01,7.22
197,PIAUÍ,2017-06-01,10.49
198,CEARÁ,2017-06-01,8.04
199,RIO GRANDE DO NORTE,2017-06-01,8.6
200,PARAÍBA,2017-06-01,11.28
201,PERNAMBUCO,2017-06-01,13.63
202,ALAGOAS,2017-06-01,9.57
203,SERGIPE,2017-06-01,12.56
204,BAHIA,2017-06-01,11.64
205,MINAS GERAIS,2017-06-01,8.4
206,ESPÍRITO SANTO,2017-06-01,7.83
207,RIO DE JANEIRO,2017-06-01,10.92
208,SÃO PAULO,2017-06-01,11.49
209,PARANÁ,2017-06-01,8.75
210,SANTA CATARINA,2017-06-01,7.97
211,RIO GRANDE DO SUL,2017-06-01,8.99
212,MATO GROSSO DO SUL,2017-06-01,7.32
213,MATO GROSSO,2017-06-01,6.17
214,GOIÁS,2017-06-01,5.63
215,DISTRITO FEDERAL,2017-06-01,8.9
216,RONDÔNIA,2017-07-01,3.72
217,ACRE,2017-07-01,2.72
218,AMAZONAS,2017-07-01,3.92
219,RORAIMA,2017-07-01,7.85
220,PARÁ,2017-07-01,5.39
221,AMAPÁ,2017-07-01,2.59
222,TOCANTINS,2017-07-01,6.21
223,MARANHÃO,2017-07-01,8.1
224,PIAUÍ,2017-07-01,11.53
225,CEARÁ,2017-07-01,8.76
226,RIO GRANDE DO NORTE,2017-07-01,9.29
227,PARAÍBA,2017-07-01,12.25
228,PERNAMBUCO,2017-07-01,14.73
229,ALAGOAS,2017-07-01,10.58
230,SERGIPE,2017-07-01,13.92
231,BAHIA,2017-07-01,12.78
232,MINAS GERAIS,2017-07-01,9.1
233,ESPÍRITO SANTO,2017-07-01,8.3
234,RIO DE JANEIRO,2017-07-01,11.65
235,SÃO PAULO,2017-07-01,12.55
236,PARANÁ,2017-07-01,9.25
237,SANTA CATARINA,2017-07-01,8.37
238,RIO GRANDE DO SUL,2017-07-01,9.64
239,MATO GROSSO DO SUL,2017-07-01,8.0
240,MATO GROSSO,2017-07-01,6.83
241,GOIÁS,2017-07-01,6.2
242,DISTRITO FEDERAL,2017-07-01,9.16
243,RONDÔNIA,2017-08-01,3.86
244,ACRE,2017-08-01,2.81
245,AMAZONAS,2017-08-01,4.07
246,RORAIMA,2017-08-01,8.04
247,PARÁ,2017-08-01,5.53
248,AMAPÁ,2017-08-01,2.67
249,TOCANTINS,2017-08-01,6.47
250,MARANHÃO,2017-08-01,8.31
251,PIAUÍ,2017-08-01,11.76
252,CEARÁ,2017-08-01,9.01
253,RIO GRANDE DO NORTE,2017-08-01,9.5
254,PARAÍBA,2017-08-01,12.6
255,PERNAMBUCO,2017-08-01,15.1
256,ALAGOAS,2017-08-01,10.9
257,SERGIPE,2017-08-01,14.26
258,BAHIA,2017-08-01,13.13
259,MINAS GERAIS,2017-08-01,9.43
260,ESPÍRITO SANTO,2017-08-01,8.69
261,RIO DE JANEIRO,2017-08-01,12.19
262,SÃO PAULO,2017-08-01,12.96
263,PARANÁ,2017-08-01,9.64
264,SANTA CATARINA,2017-08-01,8.83
265,RIO GRANDE DO SUL,2017-08-01,10.01
266,MATO GROSSO DO SUL,2017-08-01,8.38
267,MATO GROSSO,2017-08-01,7.18
268,GOIÁS,2017-08-01,6.44
269,DISTRITO FEDERAL,2017-08-01,9.5
270,RONDÔNIA,2017-09-01,3.98
271,ACRE,2017-09-01,2.9
272,AMAZONAS,2017-09-01,4.2
273,RORAIMA,2017-09-01,8.16
274,PARÁ,2017-09-01,5.72
275,AMAPÁ,2017-09-01,2.88
276,TOCANTINS,2017-09-01,6.59
277,MARANHÃO,2017-09-01,8.48
278,PIAUÍ,2017-09-01,11.93
279,CEARÁ,2017-09-01,9.24
280,RIO GRANDE DO NORTE,2017-09-01,9.67
281,PARAÍBA,2017-09-01,12.82
282,PERNAMBUCO,2017-09-01,15.38
283,ALAGOAS,2017-09-01,11.16
284,SERGIPE,2017-09-01,14.59
285,BAHIA,2017-09-01,13.38
286,MINAS GERAIS,2017-09-01,9.65
287,ESPÍRITO SANTO,2017-09-01,8.93
288,RIO DE JANEIRO,2017-09-01,12.7
289,SÃO PAULO,2017-09-01,13.29
290,PARANÁ,2017-09-01,9.87
291,SANTA CATARINA,2017-09-01,9.06
292,RIO GRANDE DO SUL,2017-09-01,10.32
293,MATO GROSSO DO SUL,2017-09-01,8.59
294,MATO GROSSO,2017-09-01,7.47
295,GOIÁS,2017-09-01,6.6
296,DISTRITO FEDERAL,2017-09-01,9.79
297,RONDÔNIA,2017-10-01,4.12
298,ACRE,2017-10-01,2.99
299,AMAZONAS,2017-10-01,4.41
300,RORAIMA,2017-10-01,8.11
301,PARÁ,2017-10-01,5.92
302,AMAPÁ,2017-10-01,3.43
303,TOCANTINS,2017-10-01,6.64
304,MARANHÃO,2017-10-01,8.62
305,PIAUÍ,2017-10-01,12.07
306,CEARÁ,2017-10-01,9.43
307,RIO GRANDE DO NORTE,2017-10-01,9.85
308,PARAÍBA,2017-10-01,13.05
309,PERNAMBUCO,2017-10-01,15.7
310,ALAGOAS,2017-10-01,11.36
311,SERGIPE,2017-10-01,14.93
312,BAHIA,2017-10-01,13.62
313,MINAS GERAIS,2017-10-01,9.87
314,ESPÍRITO SANTO,2017-10-01,9.2
315,RIO DE JANEIRO,2017-10-01,13.25
316,SÃO PAULO,2017-10-01,13.53
317,PARANÁ,2017-10-01,10.09
318,SANTA CATARINA,2017-10-01,9.31
319,RIO GRANDE DO SUL,2017-10-01,10.59
320,MATO GROSSO DO SUL,2017-10-01,8.76
321,MATO GROSSO,2017-10-01,7.7
322,GOIÁS,2017-10-01,6.76
323,DISTRITO FEDERAL,2017-10-01,10.11
324,RONDÔNIA,2017-11-01,4.19
325,ACRE,2017-11-01,3.01
326,AMAZONAS,2017-11-01,4.57
327,RORAIMA,2017-11-01,8.2
328,PARÁ,2017-11-01,6.05
329,AMAPÁ,2017-11-01,3.89
330,TOCANTINS,2017-11-01,6.73
331,MARANHÃO,2017-11-01,8.71
332,PIAUÍ,2017-11-01,12.21
333,CEARÁ,2017-11-01,9.55
334,RIO GRANDE DO NORTE,2017-11-01,9.98
335,PARAÍBA,2017-11-01,13.2
336,PERNAMBUCO,2017-11-01,15.84
337,ALAGOAS,2017-11-01,11.51
338,SERGIPE,2017-11-01,15.11
