"Código","Unidade Territorial","Referência","Pessoas do sexo feminino PBF","Porcentagem de Pessoas do Sexo Feminino","Responsável Familiar (PBF) - Feminino","Valor repassado a famílias com RF Feminino","Porcentagem de Responsáveis Familiares do Sexo Feminino"
"11","RONDÔNIA","12/2013","","","108921","","92,4"
"12","ACRE","12/2013","","","70566","","90,4"
"13","AMAZONAS","12/2013","","","324680","","90,5"
"14","RORAIMA","12/2013","","","41107","","88,0"
"15","PARÁ","12/2013","","","787711","","91,5"
"16","AMAPÁ","12/2013","","","49367","","92,1"
"17","TOCANTINS","12/2013","","","128585","","91,8"
"21","MARANHÃO","12/2013","","","872841","","90,7"
"22","PIAUÍ","12/2013","","","406211","","90,0"
"23","CEARÁ","12/2013","","","1030084","","94,0"
"24","RIO GRANDE DO NORTE","12/2013","","","334596","","92,5"
"25","PARAÍBA","12/2013","","","471273","","93,1"
"26","PERNAMBUCO","12/2013","","","1047850","","91,3"
"27","ALAGOAS","12/2013","","","403362","","92,0"
"28","SERGIPE","12/2013","","","248686","","91,8"
"29","BAHIA","12/2013","","","1642999","","91,3"
"31","MINAS GERAIS","12/2013","","","1090724","","92,6"
"32","ESPÍRITO SANTO","12/2013","","","187439","","92,9"
"33","RIO DE JANEIRO","12/2013","","","801311","","94,0"
"35","SÃO PAULO","12/2013","","","1283231","","93,9"
"41","PARANÁ","12/2013","","","396828","","92,2"
"42","SANTA CATARINA","12/2013","","","134464","","93,0"
"43","RIO GRANDE DO SUL","12/2013","","","422440","","92,8"
"50","MATO GROSSO DO SUL","12/2013","","","134868","","91,7"
"51","MATO GROSSO","12/2013","","","175527","","93,4"
"52","GOIÁS","12/2013","","","319126","","93,8"
"53","DISTRITO FEDERAL","12/2013","","","87452","","93,8"
"11","RONDÔNIA","01/2014","","","108268","","92,5"
"12","ACRE","01/2014","","","70859","","90,4"
"13","AMAZONAS","01/2014","","","325244","","90,5"
"14","RORAIMA","01/2014","","","41218","","88,1"
"15","PARÁ","01/2014","","","788509","","91,5"
"16","AMAPÁ","01/2014","","","49314","","92,1"
"17","TOCANTINS","01/2014","","","127897","","91,8"
"21","MARANHÃO","01/2014","","","871436","","90,7"
"22","PIAUÍ","01/2014","","","404493","","90,1"
"23","CEARÁ","01/2014","","","1026571","","94,0"
"24","RIO GRANDE DO NORTE","01/2014","","","333165","","92,6"
"25","PARAÍBA","01/2014","","","470450","","93,1"
"26","PERNAMBUCO","01/2014","","","1043688","","91,4"
"27","ALAGOAS","01/2014","","","401314","","92,0"
"28","SERGIPE","01/2014","","","248658","","91,8"
"29","BAHIA","01/2014","","","1639316","","91,3"
"31","MINAS GERAIS","01/2014","","","1084486","","92,6"
"32","ESPÍRITO SANTO","01/2014","","","186407","","93,0"
"33","RIO DE JANEIRO","01/2014","","","800278","","94,0"
"35","SÃO PAULO","01/2014","","","1284802","","93,9"
"41","PARANÁ","01/2014","","","393772","","92,3"
"42","SANTA CATARINA","01/2014","","","133371","","93,0"
