,Unidade Territorial,Referência,TAC
0,RONDÔNIA,2015-04-01,68.24
1,ACRE,2015-04-01,80.1
2,AMAZONAS,2015-04-01,78.79
3,RORAIMA,2015-04-01,76.34
4,PARÁ,2015-04-01,78.95
5,AMAPÁ,2015-04-01,81.66
6,TOCANTINS,2015-04-01,73.73
7,MARANHÃO,2015-04-01,75.97
8,PIAUÍ,2015-04-01,74.11
9,CEARÁ,2015-04-01,76.31
10,RIO GRANDE DO NORTE,2015-04-01,72.38
11,PARAÍBA,2015-04-01,77.54
12,PERNAMBUCO,2015-04-01,74.05
13,ALAGOAS,2015-04-01,70.21
14,SERGIPE,2015-04-01,76.96
15,BAHIA,2015-04-01,75.3
16,MINAS GERAIS,2015-04-01,66.95
17,ESPÍRITO SANTO,2015-04-01,66.88
18,RIO DE JANEIRO,2015-04-01,65.13
19,SÃO PAULO,2015-04-01,64.29
20,PARANÁ,2015-04-01,66.82
21,SANTA CATARINA,2015-04-01,58.38
22,RIO GRANDE DO SUL,2015-04-01,64.96
23,MATO GROSSO DO SUL,2015-04-01,70.49
24,MATO GROSSO,2015-04-01,68.39
25,GOIÁS,2015-04-01,67.41
26,DISTRITO FEDERAL,2015-04-01,46.57
27,RONDÔNIA,2015-05-01,67.08
28,ACRE,2015-05-01,79.08
29,AMAZONAS,2015-05-01,77.54
30,RORAIMA,2015-05-01,76.99
31,PARÁ,2015-05-01,77.89
32,AMAPÁ,2015-05-01,81.31
33,TOCANTINS,2015-05-01,73.13
34,MARANHÃO,2015-05-01,74.46
35,PIAUÍ,2015-05-01,72.75
36,CEARÁ,2015-05-01,75.65
37,RIO GRANDE DO NORTE,2015-05-01,71.55
38,PARAÍBA,2015-05-01,76.4
39,PERNAMBUCO,2015-05-01,73.45
40,ALAGOAS,2015-05-01,69.24
41,SERGIPE,2015-05-01,75.71
42,BAHIA,2015-05-01,74.55
43,MINAS GERAIS,2015-05-01,66.03
44,ESPÍRITO SANTO,2015-05-01,65.85
45,RIO DE JANEIRO,2015-05-01,64.31
46,SÃO PAULO,2015-05-01,63.61
47,PARANÁ,2015-05-01,66.36
48,SANTA CATARINA,2015-05-01,57.44
49,RIO GRANDE DO SUL,2015-05-01,64.32
50,MATO GROSSO DO SUL,2015-05-01,69.63
51,MATO GROSSO,2015-05-01,67.35
52,GOIÁS,2015-05-01,66.45
53,DISTRITO FEDERAL,2015-05-01,46.15
54,RONDÔNIA,2015-06-01,66.37
55,ACRE,2015-06-01,78.06
56,AMAZONAS,2015-06-01,76.73
57,RORAIMA,2015-06-01,77.23
58,PARÁ,2015-06-01,77.26
59,AMAPÁ,2015-06-01,81.17
60,TOCANTINS,2015-06-01,72.93
61,MARANHÃO,2015-06-01,73.69
62,PIAUÍ,2015-06-01,72.43
63,CEARÁ,2015-06-01,75.44
64,RIO GRANDE DO NORTE,2015-06-01,71.44
65,PARAÍBA,2015-06-01,76.08
66,PERNAMBUCO,2015-06-01,73.49
67,ALAGOAS,2015-06-01,69.02
68,SERGIPE,2015-06-01,75.27
69,BAHIA,2015-06-01,74.44
70,MINAS GERAIS,2015-06-01,66.15
71,ESPÍRITO SANTO,2015-06-01,65.3
72,RIO DE JANEIRO,2015-06-01,63.71
73,SÃO PAULO,2015-06-01,63.29
74,PARANÁ,2015-06-01,66.4
75,SANTA CATARINA,2015-06-01,56.88
76,RIO GRANDE DO SUL,2015-06-01,64.02
77,MATO GROSSO DO SUL,2015-06-01,69.24
78,MATO GROSSO,2015-06-01,66.95
79,GOIÁS,2015-06-01,66.21
80,DISTRITO FEDERAL,2015-06-01,45.81
81,RONDÔNIA,2015-07-01,68.11
82,ACRE,2015-07-01,80.88
83,AMAZONAS,2015-07-01,78.26
84,RORAIMA,2015-07-01,79.9
85,PARÁ,2015-07-01,78.88
86,AMAPÁ,2015-07-01,84.07
87,TOCANTINS,2015-07-01,75.38
88,MARANHÃO,2015-07-01,75.37
89,PIAUÍ,2015-07-01,74.59
90,CEARÁ,2015-07-01,77.93
91,RIO GRANDE DO NORTE,2015-07-01,74.73
92,PARAÍBA,2015-07-01,78.57
93,PERNAMBUCO,2015-07-01,76.5
94,ALAGOAS,2015-07-01,71.21
95,SERGIPE,2015-07-01,76.93
96,BAHIA,2015-07-01,77.2
97,MINAS GERAIS,2015-07-01,70.52
98,ESPÍRITO SANTO,2015-07-01,68.14
99,RIO DE JANEIRO,2015-07-01,66.76
100,SÃO PAULO,2015-07-01,66.39
101,PARANÁ,2015-07-01,69.39
102,SANTA CATARINA,2015-07-01,60.99
103,RIO GRANDE DO SUL,2015-07-01,67.47
104,MATO GROSSO DO SUL,2015-07-01,71.5
105,MATO GROSSO,2015-07-01,69.19
106,GOIÁS,2015-07-01,69.68
107,DISTRITO FEDERAL,2015-07-01,48.37
108,RONDÔNIA,2015-08-01,66.8
