"Código","Unidade Territorial","Referência","Quantidade total de famílias com cadastro atualizado","Média geral de atualização de todo o cadastro","Quantidade de famílias em situação de pobreza, segundo a faixa do Programa Bolsa Família*, com cadastro atualizado","Quantidade de famílias de baixa renda** com cadastro atualizado","Quantidade de famílias com renda per capita mensal até meio salário mínimo (Pobreza + Baixa renda) com cadastro atualizado","Quantidade de famílias com renda per capita mensal maior que meio salário-mínimo*** com cadastro atualizado","Quantidade de famílias com renda zero com cadastro atualizado","TAC - Taxa de atualização cadastral das famílias com renda per capita mensal até meio salário mínimo (Pobreza + Baixa renda)"
"11","RONDÔNIA","04/2015","164429","67,38","98951","37719","136670","27759","6323","68,24"
"12","ACRE","04/2015","99938","79,52","82854","12493","95347","4591","18166","80,10"
"13","AMAZONAS","04/2015","443263","77,15","361309","55949","417258","26005","35436","78,79"
"14","RORAIMA","04/2015","66987","76,09","48007","11544","59551","7436","4953","76,34"
"15","PARÁ","04/2015","1060889","77,98","866999","118761","985760","75129","71816","78,95"
"16","AMAPÁ","04/2015","74863","81,05","60908","8797","69705","5158","8474","81,66"
"17","TOCANTINS","04/2015","206196","72,59","128137","46461","174598","31598","12118","73,73"
"21","MARANHÃO","04/2015","1094902","74,75","913706","97454","1011160","83742","98062","75,97"
"22","PIAUÍ","04/2015","522630","72,81","426954","56996","483950","38680","60950","74,11"
"23","CEARÁ","04/2015","1352641","75,36","983664","250346","1234010","118631","72052","76,31"
"24","RIO GRANDE DO NORTE","04/2015","459449","71,21","328680","84269","412949","46500","43311","72,38"
"25","PARAÍBA","04/2015","614365","75,93","502657","69410","572067","42298","103314","77,54"
"26","PERNAMBUCO","04/2015","1349065","73,24","1063541","189513","1253054","96011","117108","74,05"
"27","ALAGOAS","04/2015","460891","69,11","366221","64031","430252","30639","31645","70,21"
"28","SERGIPE","04/2015","335212","75,78","262384","46419","308803","26409","13755","76,96"
"29","BAHIA","04/2015","2251579","73,72","1721767","314029","2035796","215783","206035","75,30"
"31","MINAS GERAIS","04/2015","1754992","65,98","992374","465756","1458130","296862","137699","66,95"
"32","ESPÍRITO SANTO","04/2015","305804","66,87","166241","86161","252402","53402","20728","66,88"
"33","RIO DE JANEIRO","04/2015","1024538","64,44","711602","199605","911207","113331","119917","65,13"
"35","SÃO PAULO","04/2015","2262029","64,65","1250267","611857","1862124","399905","200663","64,29"
"41","PARANÁ","04/2015","816005","66,71","345443","281057","626500","189505","45963","66,82"
"42","SANTA CATARINA","04/2015","278945","59,40","111693","82635","194328","84617","18547","58,38"
"43","RIO GRANDE DO SUL","04/2015","725719","65,29","379236","181551","560787","164932","70657","64,96"
"50","MATO GROSSO DO SUL","04/2015","294676","70,15","134006","81860","215866","78810","20931","70,49"
"51","MATO GROSSO","04/2015","330996","68,52","168192","87985","256177","74819","20817","68,39"
"52","GOIÁS","04/2015","546564","65,65","312477","138462","450939","95625","23778","67,41"
"53","DISTRITO FEDERAL","04/2015","110378","46,13","72181","27047","99228","11150","6224","46,57"
"11","RONDÔNIA","05/2015","162828","66,27","96822","38004","134826","28002","6146","67,08"
"12","ACRE","05/2015","99105","78,47","82258","12290","94548","4557","18432","79,08"
"13","AMAZONAS","05/2015","438444","75,96","356314","55772","412086","26358","35304","77,54"
"14","RORAIMA","05/2015","68775","76,75","48591","12247","60838","7937","5023","76,99"
"15","PARÁ","05/2015","1054707","76,95","856219","121401","977620","77087","69593","77,89"
"16","AMAPÁ","05/2015","75217","80,73","60932","9061","69993","5224","8469","81,31"
"17","TOCANTINS","05/2015","205792","72,01","126607","47081","173688","32104","11925","73,13"
"21","MARANHÃO","05/2015","1076696","73,24","896380","97171","993551","83145","95679","74,46"
"22","PIAUÍ","05/2015","514478","71,46","418881","56926","475807","38671","59835","72,75"
"23","CEARÁ","05/2015","1347112","74,70","972710","254341","1227051","120061","70811","75,65"
"24","RIO GRANDE DO NORTE","05/2015","455944","70,36","324375","84883","409258","46686","42601","71,55"
"25","PARAÍBA","05/2015","607356","74,80","495251","69702","564953","42403","102679","76,40"
"26","PERNAMBUCO","05/2015","1346501","72,67","1054277","193682","1247959","98542","116272","73,45"
"27","ALAGOAS","05/2015","456367","68,14","360878","64487","425365","31002","31350","69,24"
"28","SERGIPE","05/2015","331406","74,54","257910","46917","304827","26579","13366","75,71"
"29","BAHIA","05/2015","2241528","73,00","1702949","319292","2022241","219287","205228","74,55"
"31","MINAS GERAIS","05/2015","1742847","65,12","973303","469544","1442847","300000","136354","66,03"
"32","ESPÍRITO SANTO","05/2015","303741","65,87","163695","86143","249838","53903","20928","65,85"
"33","RIO DE JANEIRO","05/2015","1021406","63,69","704741","200743","905484","115922","119730","64,31"
"35","SÃO PAULO","05/2015","2260147","64,02","1239230","613223","1852453","407694","200356","63,61"
"41","PARANÁ","05/2015","816402","66,19","340210","284354","624564","191838","45990","66,36"
"42","SANTA CATARINA","05/2015","276441","58,37","109434","82491","191925","84516","18406","57,44"
"43","RIO GRANDE DO SUL","05/2015","724052","64,62","373093","184239","557332","166720","69530","64,32"
"50","MATO GROSSO DO SUL","05/2015","293536","69,24","132149","82123","214272","79264","20646","69,63"
"51","MATO GROSSO","05/2015","328540","67,49","165125","88130","253255","75285","20338","67,35"
"52","GOIÁS","05/2015","544117","64,75","307689","139451","447140","96977","23241","66,45"
"53","DISTRITO FEDERAL","05/2015","110338","45,81","71699","27079","98778","11560","6231","46,15"
"11","RONDÔNIA","06/2015","161910","65,56","94780","38855","133635","28275","5864","66,37"
"12","ACRE","06/2015","98183","77,44","81236","12363","93599","4584","18506","78,06"
"13","AMAZONAS","06/2015","435687","75,19","350338","58298","408636","27051","34576","76,73"
"14","RORAIMA","06/2015","69826","77,00","48526","12928","61454","8372","4982","77,23"
"15","PARÁ","06/2015","1051327","76,33","844783","127768","972551","78776","67740","77,26"
